fid,ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,ZIP
"72","76049","76049",B5,G6350,S,"261549008","18062107","+32.4602554","-097.7067838",76049
"73","76050","76050",B5,G6350,S,"316169724","4494802","+32.2808945","-097.1609306",76050
"74","76051","76051",B5,G6350,S,"95384397","11473870","+32.9257650","-097.0715449",76051
"75","76052","76052",B5,G6350,S,"117265124","296245","+32.9861372","-097.3746907",76052
"76","76053","76053",B5,G6350,S,"20817481","162424","+32.8172004","-097.1805860",76053
"77","75001","75001",B5,G6350,S,"9929852","8702","+32.9600470","-096.8385216",75001
"78","75002","75002",B5,G6350,S,"96292162","5325123","+33.0898540","-096.6086004",75002
"79","75006","75006",B5,G6350,S,"43706561","657534","+32.9621408","-096.8985846",75006
"80","75007","75007",B5,G6350,S,"30192477","555593","+33.0052617","-096.8967417",75007
"81","75009","75009",B5,G6350,S,"247261242","4058342","+33.3388988","-096.7529774",75009
"82","75010","75010",B5,G6350,S,"20941115","182600","+33.0501642","-096.8745399",75010
"83","75013","75013",B5,G6350,S,"38941057","169219","+33.1143268","-096.6939636",75013
"84","75019","75019",B5,G6350,S,"42675476","4656895","+32.9634172","-096.9846640",75019
"85","75022","75022",B5,G6350,S,"49756509","5373461","+33.0348902","-097.1249057",75022
"86","75023","75023",B5,G6350,S,"24400650","29165","+33.0567562","-096.7308311",75023
"87","75024","75024",B5,G6350,S,"32810309","303895","+33.0754224","-096.8026861",75024
"88","75025","75025",B5,G6350,S,"24221362","117765","+33.0900854","-096.7400082",75025
"89","75028","75028",B5,G6350,S,"39239202","184958","+33.0327096","-097.0600704",75028
"90","75032","75032",B5,G6350,S,"132886529","21658387","+32.8571121","-096.4312104",75032
"91","75034","75034",B5,G6350,S,"129588305","10182771","+33.1466647","-096.8557671",75034
"92","75035","75035",B5,G6350,S,"61135255","245283","+33.1631298","-096.7901926",75035
"93","75038","75038",B5,G6350,S,"34641367","105488","+32.8747756","-096.9968618",75038
