GEOID,NAME,tot.popE_13,tot.popM_13,med.incE_13,med.incM_13,giniE_13,giniM_13,less.hsE_13,less.hsM_13,hs.degE_13,hs.degM_13,some.colE_13,some.colM_13,ba.degE_13,ba.degM_13,grad.degE_13,grad.degM_13,tot.degE_13,tot.degM_13,tot.popE_18,tot.popM_18,med.incE_18,med.incM_18,giniE_18,giniM_18,less.hsE_18,less.hsM_18,hs.degE_18,hs.degM_18,some.colE_18,some.colM_18,ba.degE_18,ba.degM_18,grad.degE_18,grad.degM_18,tot.degE_18,tot.degM_18,ADJ_med.inc_13
75203,ZCTA5 75203,15514,1001,28602,3509,0.4251,0.0235,4032,486,2386,356,2064,349,705,232,293,107,9480,647,17301,1079,35266,2946,0.4535,0.0247,3627,437,3020,445,2260,350,1423,270,483,151,10813,516,30833.7142231891
75204,ZCTA5 75204,26586,1116,63551,5608,0.489,0.0221,2511,409,2049,388,2939,437,7070,692,4803,473,19372,824,30797,1236,74540,4037,0.4883,0.02,2363,447,1988,417,3819,507,8322,689,6608,528,23100,1009,68509.6627018352
75205,ZCTA5 75205,23384,527,108913,8249,0.5884,0.0176,224,97,675,190,1929,326,5660,427,4939,371,13427,416,24879,700,146902,13050,0.5712,0.0165,158,75,673,194,1786,240,6645,391,5709,380,14971,496,117411.101223348
75206,ZCTA5 75206,37198,1241,52192,1689,0.4914,0.0212,3566,588,2776,390,5672,513,9398,600,5681,519,27093,883,38375,1369,67500,3222,0.4927,0.02,2796,490,2715,422,4977,446,11659,803,6777,563,28924,1116,56264.3595810323
75207,ZCTA5 75207,9561,1010,74792,26315,0.388,0.0831,2329,388,2391,319,2007,290,535,146,235,109,7497,663,7813,460,76552,11667,0.4407,0.0907,1591,234,1740,296,1549,213,1118,190,560,118,6558,417,80627.7586945235
76148,ZCTA5 76148,23959,637,59394,2620,0.3065,0.015,1846,331,4845,447,6029,467,1962,286,553,130,15235,459,23586,690,71151,2891,0.331,0.0193,1993,296,4799,442,5958,479,2074,273,739,157,15563,595,64028.3065020661
76155,ZCTA5 76155,3643,518,45675,5586,0.4061,0.0609,215,92,551,209,895,206,774,212,307,175,2742,308,5494,413,57424,6785,0.3428,0.0277,145,65,710,158,1162,254,1302,288,671,191,3990,307,49238.8608189694
76164,ZCTA5 76164,17739,1415,34574,3303,0.3946,0.0261,6137,621,2395,365,1319,244,343,109,93,67,10287,755,15685,1030,36586,3508,0.4162,0.0311,5085,533,2694,409,1200,230,301,119,91,55,9371,638,37271.6885376037
76177,ZCTA5 76177,5306,939,81755,5516,0.3279,0.0422,87,61,549,215,1245,252,937,273,502,190,3320,478,9361,1192,93233,5607,0.3253,0.0469,59,55,1032,246,2157,503,2306,418,624,215,6178,726,88134.0572797995
76179,ZCTA5 76179,49578,2120,75472,4117,0.3891,0.0293,2613,570,7824,831,11774,868,5712,541,2530,442,30453,1166,60286,2101,86456,4921,0.3878,0.0165,3304,699,9754,982,12801,934,8987,916,3322,446,38168,1326,81360.8167209471
76180,ZCTA5 76180,33674,843,52086,2085,0.4065,0.0219,2306,404,5510,591,8761,631,4417,431,1513,275,22507,827,36964,840,57142,2071,0.3981,0.0164,2561,381,5701,516,8741,604,5388,555,2060,272,24451,726,56150.088771031
76182,ZCTA5 76182,29602,704,82038,3430,0.3671,0.0188,1198,315,4491,417,7312,481,4873,399,2090,266,19964,539,31031,827,88314,5000,0.4032,0.0253,1240,300,4608,499,7358,510,6060,472,2326,252,21592,594,88439.1387819729
76201,ZCTA5 76201,26557,1051,22342,1728,0.5655,0.0411,913,222,1586,272,2983,408,2767,345,1775,251,10024,634,27965,946,29724,3188,0.4933,0.0198,1267,348,1683,325,3874,369,3278,419,1791,272,11893,768,24085.268274054
76205,ZCTA5 76205,18680,981,41371,3261,0.5005,0.0344,1739,546,2039,308,2987,384,2114,338,1699,355,10578,758,22093,1327,47139,5026,0.4659,0.0259,1507,332,2948,610,3636,486,3205,497,1797,278,13093,875,44599.0347223116
76207,ZCTA5 76207,11477,1005,61377,6041,0.4155,0.0311,573,232,1591,251,2668,355,1770,345,845,212,7447,551,14342,883,61836,7016,0.4148,0.0598,913,225,2032,309,3184,423,2779,374,1151,189,10059,613,66166.0330702985
76208,ZCTA5 76208,19644,1243,70890,5490,0.4171,0.0255,1519,354,2489,420,3730,450,2895,400,1577,289,12210,645,24687,1422,81151,6222,0.406,0.0205,1798,454,3199,437,4540,517,4070,532,2018,287,15625,886,76421.2992546632
76209,ZCTA5 76209,25756,1075,48237,2501,0.4159,0.0214,2941,469,3350,502,4757,510,2753,402,2036,354,15837,727,24838,1333,53869,4647,0.4159,0.0241,1710,386,3408,665,4974,582,3178,451,1887,305,15157,875,52000.7647361714
