GEOID,NAME,tot.popE_13,tot.popM_13,med.incE_13,med.incM_13,giniE_13,giniM_13,less.hsE_13,less.hsM_13,hs.degE_13,hs.degM_13,some.colE_13,some.colM_13,ba.degE_13,ba.degM_13,grad.degE_13,grad.degM_13,tot.degE_13,tot.degM_13,tot.popE_18,tot.popM_18,med.incE_18,med.incM_18,giniE_18,giniM_18,less.hsE_18,less.hsM_18,hs.degE_18,hs.degM_18,some.colE_18,some.colM_18,ba.degE_18,ba.degM_18,grad.degE_18,grad.degM_18,tot.degE_18,tot.degM_18,ADJ_med.inc_13
48251130215,"Census Tract 1302.15, Johnson County, Texas",4198,435,78906,17721,0.3254,0.0482,51,39,848,183,979,213,530,147,179,97,2587,247,6114,490,84805,12587,0.3691,0.036,261,132,1034,225,1324,187,968,183,293,89,3880,324,85062.7597543864
48251130302,"Census Tract 1303.02, Johnson County, Texas",5101,398,37152,7375,0.3846,0.0313,687,196,1234,308,974,216,267,104,18,23,3180,267,5456,446,46028,4837,0.3787,0.0375,571,220,1574,280,904,186,300,121,120,98,3469,277,40050.8408789568
48251130303,"Census Tract 1303.03, Johnson County, Texas",3705,479,39333,10550,0.4206,0.0402,491,186,743,190,777,242,207,102,68,58,2286,287,4086,427,44348,7302,0.3855,0.0504,592,189,808,163,803,156,276,113,68,46,2547,214,42402.0166960596
48251130304,"Census Tract 1303.04, Johnson County, Texas",5779,732,44219,6655,0.4556,0.0419,423,154,1101,269,1300,288,559,167,159,71,3542,391,5463,437,54683,6333,0.3952,0.0288,530,185,824,200,968,190,558,133,219,95,3099,256,47669.2542212153
48251130405,"Census Tract 1304.05, Johnson County, Texas",5619,422,74514,14420,0.3967,0.0346,418,137,1125,358,1244,234,924,215,262,110,3973,307,6143,575,89299,20339,0.4193,0.0539,327,109,1259,302,1497,268,825,265,284,145,4192,355,80328.0673248973
48251130406,"Census Tract 1304.06, Johnson County, Texas",5961,548,78321,8871,0.3589,0.0444,560,202,1398,241,1419,274,599,151,325,116,4301,310,6106,540,85216,19196,0.3654,0.0506,564,290,1377,305,1470,258,615,187,306,134,4332,288,84432.1142463602
48251130407,"Census Tract 1304.07, Johnson County, Texas",8096,655,47235,7696,0.396,0.0555,1599,346,1675,382,1197,267,366,155,112,79,4949,460,8949,850,65235,14009,0.3557,0.044,1787,365,1473,350,1656,346,562,246,138,75,5616,523,50920.582173706
48251130408,"Census Tract 1304.08, Johnson County, Texas",7504,610,56094,6645,0.4426,0.0982,1274,300,1940,292,1424,246,345,114,183,86,5166,440,8604,536,62550,8008,0.3935,0.0587,1311,242,2030,258,1676,273,372,112,216,143,5605,390,60470.8190208926
48251130409,"Census Tract 1304.09, Johnson County, Texas",6008,583,51207,8335,0.381,0.0401,756,217,1490,343,1313,257,454,146,176,113,4189,390,7061,616,59858,14156,0.4059,0.0524,475,172,1731,292,1677,314,583,184,234,143,4700,388,55202.5034692275
48251130410,"Census Tract 1304.10, Johnson County, Texas",7091,723,54351,7858,0.3675,0.0391,861,256,1724,279,1577,302,229,124,65,77,4456,425,7471,665,52878,7465,0.3787,0.0386,800,301,1991,406,1439,317,328,141,147,140,4705,461,58591.8188149273
48251130500,"Census Tract 1305, Johnson County, Texas",6753,511,61225,4377,0.376,0.0457,647,165,1589,304,1815,351,544,186,208,123,4803,357,6772,603,70717,10571,0.3921,0.0416,581,236,1528,314,1831,320,601,212,248,120,4789,352,66002.1730408627
48251130601,"Census Tract 1306.01, Johnson County, Texas",6758,480,60471,5005,0.3434,0.0391,723,209,1549,344,1489,308,495,144,244,122,4500,315,7048,495,61321,5397,0.4542,0.0861,533,171,1802,353,1367,215,763,205,262,102,4727,301,65189.34105274
48251130602,"Census Tract 1306.02, Johnson County, Texas",1705,233,69917,19706,0.3911,0.0715,87,51,400,143,405,103,217,87,150,68,1259,151,2207,173,71607,10781,0.378,0.0443,132,60,509,117,437,69,276,66,128,54,1482,120,75372.3794609717
48251130700,"Census Tract 1307, Johnson County, Texas",4091,296,44750,7261,0.3514,0.0387,811,234,886,168,655,150,128,85,45,38,2525,258,4954,334,52158,8123,0.3326,0.0281,663,181,987,240,892,196,274,114,59,34,2875,217,48241.6862977314
48251130800,"Census Tract 1308, Johnson County, Texas",4280,434,31235,3078,0.3773,0.0458,888,184,717,153,645,182,80,53,26,24,2356,274,4078,359,27295,5661,0.523,0.109,835,210,936,183,704,173,164,90,14,22,2653,262,33672.1580225618
48251130900,"Census Tract 1309, Johnson County, Texas",3170,386,39785,8342,0.4054,0.0644,642,151,580,168,408,134,61,42,31,27,1722,218,2826,310,38157,6401,0.3377,0.0431,578,147,743,149,382,150,84,56,0,13,1787,224,42889.2846783294
48251131000,"Census Tract 1310, Johnson County, Texas",4995,470,69583,5617,0.3572,0.0324,258,119,1066,220,1040,164,644,123,256,77,3264,211,4540,329,87083,6366,0.4097,0.0658,208,146,833,161,1131,179,681,175,413,101,3266,245,75012.3186068166
48251131100,"Census Tract 1311, Johnson County, Texas",5399,434,46217,12755,0.3954,0.0333,630,180,852,240,1207,191,472,184,71,57,3232,276,5665,589,50451,7952,0.4243,0.0504,847,310,1348,247,848,204,272,144,139,86,3454,386,49823.1511870894
