TYPE,per_rohh,per_tot_pop,per_med_inc,per_gini,per_less_hs,per_hs_deg,per_wh,per_bl,per_as,per_his,per_hs_18t24,per_es_3t4,per_emp_pubtr,per_bp,per_cbp
COUNTY,0.0264849046768573,0.102241771894749,0.0794636520714744,0.0118604855477788,0.00285444397380584,0.0878098701828936,0.0315360985626283,0.154535406155011,0.329351976953969,0.137869656476081,0.307513189421465,0.137063119457486,0.0659976591963241,-0.133385669502433,-0.179836255673609
PLACE,0.0261784874422916,0.102079137401082,,,0.00466241056213058,0.0918115350350987,0.0315730224426007,0.152301452927511,0.324740428293316,0.133279465668983,0.304690204730693,0.127824286614457,0.0697593074350174,-0.135503199278788,-0.182444712261068
TRACT,0.0264849046768573,0.102241771894749,,,0.00285444397380584,0.0878098701828936,0.0315360985626283,0.154535406155011,0.329351976953969,0.137869656476081,0.307513189421465,0.137063119457486,0.0659976591963241,-0.133385669502433,-0.179836255673609
ZIP,0.0240775259773562,0.101442089051723,,,0.00194264770074928,0.0854267408736555,0.0322584701293651,0.152757268545217,0.330095953186315,0.140641981100607,0.309630856601988,0.131722557800458,0.0682828893398385,-0.133640354784896,-0.179009884584915
