GEOID,NAME,type,tot_popE_2012,tot_popE_2013,tot_popE_2014,tot_popE_2015,tot_popE_2016,tot_popE_2017,tot_popE_2018,tot_popE_2019,med_incE_2012,med_incE_2013,med_incE_2014,med_incE_2015,med_incE_2016,med_incE_2017,med_incE_2018,med_incE_2019,giniE_2012,giniE_2013,giniE_2014,giniE_2015,giniE_2016,giniE_2017,giniE_2018,giniE_2019,pop_u18E_2012,pop_u18E_2013,pop_u18E_2014,pop_u18E_2015,pop_u18E_2016,pop_u18E_2017,pop_u18E_2018,pop_u18E_2019,pop_bpE_2012,pop_bpE_2013,pop_bpE_2014,pop_bpE_2015,pop_bpE_2016,pop_bpE_2017,pop_bpE_2018,pop_bpE_2019,bp_u18E_2012,bp_u18E_2013,bp_u18E_2014,bp_u18E_2015,bp_u18E_2016,bp_u18E_2017,bp_u18E_2018,bp_u18E_2019,bp_per_2012,bp_per_2013,bp_per_2014,bp_per_2015,bp_per_2016,bp_per_2017,bp_per_2018,bp_per_2019,cbp_per_2012,cbp_per_2013,cbp_per_2014,cbp_per_2015,cbp_per_2016,cbp_per_2017,cbp_per_2018,cbp_per_2019
48085030404,"Census Tract 304.04, Collin County, Texas",Tract,5766,5760,5914,5778,6002,5932,5763,5932,97844,98140,106386,105472,99447,110653,114583,113682,0.3296,0.2941,0.3036,0.3115,0.3396,0.3327,0.3525,0.3724,1630,1535,1575,1490,1494,1391,1353,1306,739,431,441,504,591,284,224,332,396,253,244,308,326,88,61,111,0.128165105792577,0.0748263888888889,0.0745688197497464,0.0872274143302181,0.0984671776074642,0.047875927174646,0.038868644803054,0.0559676331759946,0.242944785276074,0.164820846905537,0.154920634920635,0.206711409395973,0.218206157965194,0.0632638389647735,0.0450849963045085,0.0849923430321593
48085030405,"Census Tract 304.05, Collin County, Texas",Tract,4506,4929,4911,4972,4982,4890,4840,5072,59099,63074,65287,71054,70194,71809,73615,73526,0.3611,0.3425,0.3482,0.3331,0.3507,0.3472,0.3745,0.3907,1086,1287,1263,1267,1198,1089,1003,1081,369,275,292,303,142,198,289,271,141,92,112,119,29,40,36,10,0.0818908122503329,0.0557922499492798,0.0594583587863979,0.0609412711182623,0.0285026093938177,0.0404907975460123,0.0597107438016529,0.0534305993690852,0.129834254143646,0.0714840714840715,0.0886777513855899,0.0939226519337017,0.0242070116861436,0.0367309458218549,0.0358923230309073,0.00925069380203515
48085030406,"Census Tract 304.06, Collin County, Texas",Tract,2574,2680,2968,3268,3650,4141,4498,5084,55662,55589,55876,45357,55049,51682,55795,52344,0.5191,0.5317,0.5244,0.5047,0.5807,0.5451,0.6084,0.5999,580,546,661,802,1005,1204,1282,1380,193,219,230,291,378,481,472,438,49,54,97,139,172,248,199,103,0.074980574980575,0.0817164179104478,0.0774932614555256,0.0890452876376989,0.103561643835616,0.116155517990823,0.104935526900845,0.0861526357199056,0.0844827586206897,0.0989010989010989,0.146747352496218,0.173316708229426,0.171144278606965,0.205980066445183,0.155226209048362,0.0746376811594203
48085030407,"Census Tract 304.07, Collin County, Texas",Tract,3743,3705,3948,4080,4183,4132,4596,4288,161492,164167,154904,190213,171250,177857,180685,133964,0.4386,0.3958,0.4298,0.4378,0.4692,0.4743,0.4885,0.4954,1255,1146,1147,1198,1221,1192,1458,1157,27,31,64,79,157,157,192,102,18,16,10,8,28,29,30,21,0.00721346513491851,0.00836707152496626,0.0162107396149949,0.0193627450980392,0.0375328711451112,0.0379961277831559,0.0417754569190601,0.0237873134328358,0.0143426294820717,0.0139616055846422,0.00871839581517001,0.00667779632721202,0.0229320229320229,0.0243288590604027,0.0205761316872428,0.0181503889369058
48085030408,"Census Tract 304.08, Collin County, Texas",Tract,6531,6730,7019,7137,7095,7314,7520,7675,65101,57051,63688,66667,70771,64518,67109,65197,0.3878,0.4137,0.4084,0.4076,0.3679,0.4024,0.3896,0.3836,1868,1944,2026,1809,1801,1797,1615,1619,761,926,1008,700,757,1144,996,712,318,416,439,269,294,438,264,170,0.116521206553361,0.137592867756315,0.143610200883317,0.0980804259492784,0.106694855532065,0.156412359857807,0.132446808510638,0.0927687296416938,0.170235546038544,0.213991769547325,0.216683119447187,0.148700939745716,0.163242642976124,0.243739565943239,0.163467492260062,0.105003088326127
48085030504,"Census Tract 305.04, Collin County, Texas",Tract,2370,2539,2604,3011,3097,3086,3607,3642,72605,75129,76277,80701,96806,94000,88889,81764,0.5577,0.5677,0.5565,0.5191,0.4899,0.5076,0.5155,0.5311,461,498,581,794,712,684,805,695,314,334,289,309,124,147,106,155,120,133,115,143,18,18,7,0,0.132489451476793,0.131547853485624,0.110983102918587,0.102623713052142,0.0400387471746852,0.0476344782890473,0.0293873024674245,0.042559033498078,0.260303687635575,0.267068273092369,0.197934595524957,0.180100755667506,0.0252808988764045,0.0263157894736842,0.00869565217391304,0
48085030505,"Census Tract 305.05, Collin County, Texas",Tract,2857,3191,3496,3705,3627,4225,4686,5161,83531,85009,85455,80878,73007,77674,82118,79219,0.4497,0.4253,0.3942,0.3725,0.3726,0.3523,0.3534,0.3772,638,755,749,737,534,606,785,682,77,75,98,120,123,166,159,404,0,0,0,0,0,0,0,0,0.0269513475673784,0.0235036038859292,0.0280320366132723,0.0323886639676113,0.0339123242349049,0.0392899408284024,0.0339308578745198,0.0782794032164309,0,0,0,0,0,0,0,0
48085030506,"Census Tract 305.06, Collin County, Texas",Tract,2814,2851,2893,2945,2812,2980,2833,2963,117609,112450,120402,120489,123177,117240,128782,131227,0.2056,0.2206,0.2471,0.2805,0.3254,0.3594,0.3665,0.3621,1099,1112,1064,1137,876,927,793,812,40,65,55,57,109,104,69,79,32,52,41,41,81,20,14,24,0.0142146410803127,0.0227990178884602,0.0190114068441065,0.0193548387096774,0.0387624466571835,0.0348993288590604,0.0243558065654783,0.026662166722916,0.0291173794358508,0.0467625899280576,0.0385338345864662,0.0360598065083553,0.0924657534246575,0.0215749730312837,0.0176544766708701,0.0295566502463054
48085030507,"Census Tract 305.07, Collin County, Texas",Tract,1779,1851,1894,1864,1887,1851,1778,1750,142917,146143,144750,153125,148304,134875,138077,142105,0.2698,0.3097,0.3154,0.2943,0.314,0.3438,0.3462,0.3355,591,620,610,638,627,604,512,508,56,56,18,8,23,11,31,51,24,24,6,2,9,4,12,14,0.031478358628443,0.0302539168017288,0.00950369588173178,0.00429184549356223,0.0121886592474828,0.00594273365748244,0.0174353205849269,0.0291428571428571,0.0406091370558376,0.0387096774193548,0.00983606557377049,0.00313479623824451,0.0143540669856459,0.00662251655629139,0.0234375,0.0275590551181102
48085030508,"Census Tract 305.08, Collin County, Texas",Tract,5744,6029,5822,6070,6588,7071,6856,7077,94717,95988,96414,96805,114389,123558,127649,132945,0.3237,0.3343,0.3503,0.3508,0.3444,0.3591,0.3667,0.334,1651,1794,1614,1721,1913,2127,2112,2090,134,295,294,319,442,590,452,376,38,102,96,124,210,275,215,187,0.0233286908077994,0.0489301708409355,0.050498110614909,0.0525535420098847,0.0670916818457802,0.083439400367699,0.0659276546091015,0.05312985728416,0.0230163537250151,0.0568561872909699,0.0594795539033457,0.0720511330621732,0.10977522216414,0.129290079924777,0.101799242424242,0.0894736842105263
