GEOID,NAME,tot_popE,med_incE,giniE,pop_u18E,pop_bpE,bp_u18E,year,bp_per,cbp_per,type
48085030530,"Census Tract 305.30, Collin County, Texas",6448,91917,0.3364,1984,186,88,2012,0.0288461538461538,0.0443548387096774,Tract
48085030531,"Census Tract 305.31, Collin County, Texas",5415,121440,0.3239,1782,356,166,2012,0.0657433056325023,0.0931537598204265,Tract
48085030601,"Census Tract 306.01, Collin County, Texas",8833,114399,0.3942,2525,263,90,2012,0.0297747084795653,0.0356435643564356,Tract
48085030603,"Census Tract 306.03, Collin County, Texas",7206,67008,0.375,2309,528,182,2012,0.0732722731057452,0.0788220008661758,Tract
48085030604,"Census Tract 306.04, Collin County, Texas",2961,73975,0.3546,727,40,17,2012,0.0135089496791624,0.0233837689133425,Tract
48085030605,"Census Tract 306.05, Collin County, Texas",5962,65800,0.3507,1873,133,60,2012,0.0223079503522308,0.0320341697810998,Tract
48085030701,"Census Tract 307.01, Collin County, Texas",3478,51071,0.3442,768,1103,289,2012,0.317136285221392,0.376302083333333,Tract
48085030702,"Census Tract 307.02, Collin County, Texas",4460,45118,0.5545,1196,1069,453,2012,0.239686098654709,0.37876254180602,Tract
48085030801,"Census Tract 308.01, Collin County, Texas",3679,41640,0.3521,923,539,224,2012,0.146507203044306,0.242686890574215,Tract
48085030802,"Census Tract 308.02, Collin County, Texas",5944,36164,0.4514,1951,1444,680,2012,0.242934051144011,0.348539210661199,Tract
48085030900,"Census Tract 309, Collin County, Texas",9636,30613,0.5714,2932,2519,1139,2012,0.261415525114155,0.388472032742156,Tract
48085031001,"Census Tract 310.01, Collin County, Texas",6669,57315,0.401,1678,705,174,2012,0.105713000449843,0.103694874851013,Tract
48085031003,"Census Tract 310.03, Collin County, Texas",4115,55234,0.3541,1090,672,270,2012,0.163304981773998,0.247706422018349,Tract
48085031004,"Census Tract 310.04, Collin County, Texas",5431,53880,0.4187,1542,649,134,2012,0.119499171423311,0.0869001297016861,Tract
48085031100,"Census Tract 311, Collin County, Texas",9876,60914,0.4093,2466,1358,461,2012,0.137505062778453,0.186942416869424,Tract
48085031201,"Census Tract 312.01, Collin County, Texas",5140,72585,0.3538,1291,431,87,2012,0.083852140077821,0.0673896204492641,Tract
48085031202,"Census Tract 312.02, Collin County, Texas",3964,70613,0.3872,1222,287,113,2012,0.072401614530777,0.0924713584288052,Tract
48085031308,"Census Tract 313.08, Collin County, Texas",6198,91786,0.2925,1893,340,114,2012,0.0548564052920297,0.0602218700475436,Tract
48085031309,"Census Tract 313.09, Collin County, Texas",9484,71274,0.3217,3209,257,51,2012,0.0270982707718262,0.0158928014957931,Tract
48085031310,"Census Tract 313.10, Collin County, Texas",9131,73625,0.324,2701,400,102,2012,0.0438068119592597,0.0377637911884487,Tract
48085031311,"Census Tract 313.11, Collin County, Texas",9072,89517,0.2889,2443,250,32,2012,0.0275573192239859,0.0130986492018011,Tract
48085031312,"Census Tract 313.12, Collin County, Texas",6260,123295,0.331,1436,284,102,2012,0.0453674121405751,0.0710306406685237,Tract
48085031313,"Census Tract 313.13, Collin County, Texas",12067,131908,0.3386,4455,494,233,2012,0.0409380956327173,0.052300785634119,Tract
