GEOID,NAME,tot_popE,popm_18t24E,popf_18t24E,pop_3t4E,med_incE,giniE,less_hsE,hs_degE,ba_degE,his_popE,wh_popE,bl_popE,as_popE,rohhE,thhE,hsm_18t24E,hsf_18t24E,es_3t4E,empE,emp_pubtrE,pop_bpE,bp_u18E,pop_o25E,pop_u18E,emp_r25t29E,emp_r30t34E,emp_r35t44E,emp_r45t54E,year,pop_18t24E,wh_per,bl_per,as_per,his_per,emp_r,hs_18t24_per,es_3t4_per,emp_pubtr_per,bp_per,cbp_per,rohh_per,type
48251,"Johnson County, Texas",152384,7064,6152,4976,57535,0.4045,12279,26025,13733,28288,115732,3876,1026,12824,52044,3063,2199,556,66546,192,17844,6743,98210,40280,71.8,74.9,62.8,22.3,2013,13216,0.75947606047879,0.0254357412851743,0.0067329903401932,0.185636287274255,0.5795,0.463529055690073,0.111736334405145,0.00288522225227662,0.11709890802184,0.16740317775571,0.24640688648067,County
48257,"Kaufman County, Texas",105220,4218,4203,3608,61194,0.4036,8967,16674,10241,18615,72919,9788,670,7761,34922,1823,1379,336,46945,38,13757,5392,66910,29348,77.4,75.3,60.9,22.8,2013,8421,0.69301463600076,0.0930241398973579,0.00636761072039536,0.176915035164417,0.591,0.432965206032538,0.0931263858093126,0.000809457876238151,0.130745105493252,0.183726318658852,0.222238130691255,County
48397,"Rockwall County, Texas",81020,2823,2649,2303,86119,0.3896,3534,9033,16607,13158,59664,4331,1857,4408,26820,980,768,293,37583,132,4700,1606,51866,23453,79.6,80.7,59.5,25.5,2013,5472,0.736410762774624,0.053455936805727,0.0229202666008393,0.16240434460627,0.61325,0.358187134502924,0.127225358228398,0.00351222627251683,0.0580103678104172,0.0684773802924999,0.164354958985831,County
48439,"Tarrant County, Texas",1848423,88347,88112,60033,56853,0.4592,147386,226894,298740,499033,945390,272225,86566,252604,659736,29077,25803,6165,873643,5384,276852,111960,1159411,507407,77.3,77.2,64,27.8,2013,176459,0.511457604671658,0.147274189944618,0.0468323538497411,0.269977705319616,0.61575,0.329560974503992,0.102693518564789,0.00616270032496111,0.149777404847267,0.220651272055766,0.382886487928505,County
48085,"Collin County, Texas",836947,33194,31202,24517,84233,0.4298,27630,66748,238743,125023,514641,72415,99545,97382,296878,10948,8157,2841,423684,4463,65433,22509,539347,231728,81.4,81.8,68.8,31.1,2014,64396,0.614902735776578,0.0865228025191559,0.118938236232402,0.149379829308188,0.65775,0.340021119324182,0.115878777990782,0.0105337940540592,0.0781805777426767,0.0971354346475178,0.328020264216277,County
48113,"Dallas County, Texas",2448943,122932,118937,80968,49925,0.4971,292752,300341,380514,950159,783974,533634,131688,416813,868717,38071,32986,10345,1143128,32368,467347,194599,1541324,659889,76.8,75,62.5,28.9,2014,241869,0.320127499905061,0.217903805846032,0.0537734034642701,0.387987388844902,0.608,0.314806775568593,0.127766525046932,0.0283152892764415,0.190836209744367,0.294896565937605,0.479802973810804,County
48121,"Denton County, Texas",708627,34692,36311,21044,74662,0.4264,29065,70286,165999,132267,445154,59140,49487,88486,250472,9058,7641,1959,364566,3429,61925,19389,448049,187267,81.3,83.6,69.9,28.7,2014,71003,0.628192264759881,0.0834571643473929,0.0698350472110151,0.186652498423007,0.65875,0.255144148838781,0.0930906671735412,0.00940570431691381,0.0873872996654093,0.103536661558096,0.353277012999457,County
48139,"Ellis County, Texas",154447,7313,6889,4453,61898,0.4071,11706,23254,17706,37587,99545,13326,908,14162,51814,2979,2184,556,71144,304,18294,7383,97120,42412,77,79.7,64.9,25.7,2014,14202,0.644525306415793,0.0862820255492175,0.00587903941157808,0.243365037844698,0.61825,0.419518377693283,0.124859645183023,0.00427302372652648,0.11844839977468,0.174078091106291,0.273323812097117,County
48251,"Johnson County, Texas",153854,7097,6359,4565,58221,0.4005,12829,25738,13492,29353,115758,3652,1103,13516,53255,2998,2094,517,67807,246,18846,7312,99310,40479,72.9,74.4,62.2,23.2,2014,13456,0.752388628179963,0.0237367894237394,0.00716913437414692,0.190784769976731,0.58175,0.445600475624257,0.113253012048193,0.00362794401757931,0.122492752869604,0.180636873440549,0.253797765468031,County
48257,"Kaufman County, Texas",107119,4347,4242,3381,61459,0.4016,8663,16967,10921,19544,73654,9918,794,7956,35177,1794,1414,444,47336,126,14628,5663,68342,29588,76.5,75.8,59.7,22.5,2014,8589,0.687590436803928,0.0925886163985848,0.00741231714261709,0.182451292487794,0.58625,0.417743625567586,0.131322094055013,0.00266182186919047,0.136558407005293,0.191395160200081,0.226170509139495,County
48397,"Rockwall County, Texas",83239,2993,2811,2121,86597,0.3919,3395,9152,17000,13714,60984,4343,1817,5153,27733,994,932,303,39146,150,5156,1738,53527,23778,80.1,78.7,62.8,30.2,2014,5804,0.732637345475078,0.0521750621703769,0.021828710099833,0.164754502096373,0.6295,0.342522398345968,0.142857142857143,0.0038318091248148,0.0619421184781172,0.0730927748338801,0.185807521725021,County
48439,"Tarrant County, Texas",1881469,89666,89292,59972,57727,0.4603,147514,232100,305385,513740,950040,280662,89907,258778,667362,29449,26095,6039,889269,5052,284626,113084,1184855,512413,77.3,77,63.8,28.4,2014,178958,0.50494586942437,0.149171737615661,0.0477855335378898,0.273052598793815,0.61625,0.329116328971044,0.100696991929567,0.00568107063217092,0.151278601986001,0.220689170649457,0.387762563646117,County
48085,"Collin County, Texas",862215,34841,32737,24657,84735,0.4308,28141,68152,246496,129437,523843,76446,107190,102513,305827,11290,8598,2727,438769,4938,64824,22396,557114,235839,80.3,80.7,82.6,82.2,2015,67578,0.607554960189744,0.0886623405995024,0.124319340303753,0.150121489419692,0.8145,0.334132409955903,0.110597396276919,0.011254213492749,0.0751831039821854,0.0949630892261246,0.33519931202935,County
48113,"Dallas County, Texas",2485003,124043,120401,80072,50270,0.5017,296950,300988,390990,969793,782992,541844,139060,429799,881279,40975,33722,9861,1172251,34410,472926,194617,1568849,665224,77.2,77.6,77.2,75.6,2015,244444,0.31508694355701,0.21804561201737,0.0559596909943368,0.390258281378332,0.769,0.335250609546563,0.123151663502847,0.0293537817412824,0.190312043888881,0.292558596803483,0.487699128198902,County
48121,"Denton County, Texas",731851,35205,36681,21394,75050,0.4302,30315,74417,173141,137951,454545,63524,53224,91607,257275,9309,7812,2179,378613,3778,63220,19222,466487,191089,79.2,80.6,83.3,83.7,2015,71886,0.62108953871758,0.0867990888855792,0.0727251858643358,0.188496018998403,0.817,0.258993406226525,0.101850986257829,0.00997852688629286,0.0863837037866998,0.100591870803657,0.356066465843941,County
48139,"Ellis County, Texas",157058,7427,7043,4200,62465,0.4102,11721,23518,17781,38824,100289,13841,949,14764,52653,2716,2266,537,73268,294,18755,7261,99361,42572,75.2,76.1,79.3,80.6,2015,14470,0.638547542945918,0.0881266793159215,0.00604235378013218,0.247195303645787,0.778,0.375397373876987,0.127857142857143,0.00401266582955724,0.119414483821263,0.170558113313915,0.28040187643629,County
48251,"Johnson County, Texas",155450,7102,6468,4463,58135,0.4114,12584,25296,14196,30351,115978,3926,1224,14201,53685,3091,2006,454,68370,164,18392,7199,100643,40773,72.7,71.8,75,74.2,2015,13570,0.746079125120618,0.0252557092312641,0.00787391444194275,0.195246059826311,0.73425,0.455563743551953,0.101725296885503,0.00239871288576861,0.11831457060148,0.176562921541216,0.264524541305765,County
48257,"Kaufman County, Texas",109289,4499,4303,3353,60391,0.4141,8679,17266,11576,20552,74442,10215,896,8004,35418,1832,1380,464,48384,202,15016,5360,69926,29804,77.6,76.7,76.8,74.5,2015,8802,0.681148148487039,0.0934677780929462,0.00819844632122172,0.188051862493023,0.764,0.416269029765962,0.138383537130928,0.00417493386243386,0.137397176294046,0.179841631995705,0.225986786379807,County
48397,"Rockwall County, Texas",85536,3121,3088,2047,87524,0.4084,3616,9480,17456,14309,62282,4509,2003,5582,28457,1303,1031,342,40474,187,5310,1797,55187,24006,74.1,81.4,81,79.1,2015,6209,0.728137860082305,0.0527146464646465,0.0234170407781519,0.167286288814067,0.789,0.419713319375101,0.167073766487543,0.00462025003706083,0.0620791245791246,0.0748562859285179,0.196155603190779,County
