GEOID,NAME,popm_18t24E,popf_18t24E,pop_3t4E,less_hsE,hs_degE,ba_degE,his_popE,wh_popE,bl_popE,as_popE,rohhE,thhE,hsm_18t24E,hsf_18t24E,es_3t4E,empE,emp_pubtrE,pop_o25E,emp_r25t29E,emp_r30t34E,emp_r35t44E,emp_r45t54E,type,tot_popE_2012,tot_popE_2017,tot_popE_2018,tot_popE_2019,med_incE_2012,med_incE_2017,med_incE_2018,med_incE_2019,giniE_2012,giniE_2017,giniE_2018,giniE_2019,pop_u18E_2012,pop_u18E_2017,pop_u18E_2018,pop_u18E_2019,pop_bpE_2012,pop_bpE_2017,pop_bpE_2018,pop_bpE_2019,bp_u18E_2012,bp_u18E_2017,bp_u18E_2018,bp_u18E_2019,bp_per_2012,bp_per_2017,bp_per_2018,bp_per_2019,cbp_per_2012,cbp_per_2017,cbp_per_2018,cbp_per_2019,rohh_per_2012,rohh_per_2017,rohh_per_2018,rohh_per_2019,emp_pubtr_per_2012,emp_pubtr_per_2017,emp_pubtr_per_2018,emp_pubtr_per_2019,es_3t4_per_2012,es_3t4_per_2017,es_3t4_per_2018,es_3t4_per_2019,hs_18t24_per_2012,hs_18t24_per_2017,hs_18t24_per_2018,hs_18t24_per_2019,emp_r_2012,emp_r_2017,emp_r_2018,emp_r_2019,his_per_2012,his_per_2017,his_per_2018,his_per_2019,as_per_2012,as_per_2017,as_per_2018,as_per_2019,bl_per_2012,bl_per_2017,bl_per_2018,bl_per_2019,wh_per_2012,wh_per_2017,wh_per_2018,wh_per_2019,pop_18t24E_2012,pop_18t24E_2017,pop_18t24E_2018,pop_18t24E_2019
75024,ZCTA5 75024,1264,1242,894,275,1783,16772,2483,19971,2541,11807,8051,15335,252,222,99,20797,79,25115,82,82,70.3,39.2,Zip,37708,,,,90804,,,,0.4084,,,,10087,,,,1496,,,,228,,,,0.0396732788798133,,,,0.0226033508476257,,,,0.525008151287904,,,,0.00379862480165408,,,,0.110738255033557,,,,0.201117318435754,,,,0.68375,,,,0.0658480958947703,,,,0.313116580036067,,,,0.0673862310385064,,,,0.529622361302641,,,,2506,,,
75025,ZCTA5 75025,1940,1639,1502,668,2389,20069,3061,29310,3486,13971,4737,18150,650,334,165,25878,266,32945,79.8,81.8,71.1,31.5,Zip,51202,,,,105482,,,,0.3833,,,,14668,,,,2423,,,,750,,,,0.0473223702199133,,,,0.0511317152986092,,,,0.26099173553719,,,,0.0102790014684288,,,,0.109853528628495,,,,0.363229952500699,,,,0.6605,,,,0.0597828209835553,,,,0.272860435139252,,,,0.0680832779969532,,,,0.572438576618101,,,,3579,,,
75028,ZCTA5 75028,1817,1417,1220,364,2628,13796,3648,33920,1883,2391,1553,13856,467,416,129,21954,74,26225,80.8,86.1,68.1,26.2,Zip,42878,,,,110286,,,,0.3427,,,,13354,,,,1442,,,,419,,,,0.0336302999207053,,,,0.0313763666317208,,,,0.112081408775982,,,,0.00337068415778446,,,,0.105737704918033,,,,0.288806431663575,,,,0.653,,,,0.0850785950837259,,,,0.0557628620737908,,,,0.0439152945566491,,,,0.791081673585522,,,,3234,,,
75032,ZCTA5 75032,847,862,819,1432,2862,6650,5338,21327,1413,516,1483,9722,236,275,75,13630,45,18638,78.4,81.6,60.1,30.5,Zip,29088,,,,91456,,,,0.4135,,,,8734,,,,1996,,,,693,,,,0.0686193619361936,,,,0.0793450881612091,,,,0.152540629500103,,,,0.0033015407190022,,,,0.0915750915750916,,,,0.276184903452311,,,,0.6265,,,,0.183512101210121,,,,0.0177392739273927,,,,0.0485767326732673,,,,0.73318894389439,,,,1709,,,
75034,ZCTA5 75034,1934,1750,2615,1923,3794,24366,9500,48319,4928,5929,5669,24076,343,359,232,35598,114,44337,81.9,84.1,67.1,28.9,Zip,71123,,,,112937,,,,0.4038,,,,22968,,,,3170,,,,1234,,,,0.0445706733405509,,,,0.0537269244165796,,,,0.235462701445423,,,,0.00320242710264622,,,,0.0887189292543021,,,,0.186210640608035,,,,0.655,,,,0.133571418528465,,,,0.0833626253110808,,,,0.0692884158429763,,,,0.679372354934409,,,,3684,,,
75035,ZCTA5 75035,1534,1558,2022,708,2544,15819,6413,31491,4018,4915,3521,16375,624,232,208,25212,33,29696,86.2,83.7,65.4,39.3,Zip,48691,,,,101114,,,,0.3252,,,,15864,,,,2424,,,,960,,,,0.049783327514325,,,,0.0605143721633888,,,,0.215022900763359,,,,0.00130890052356021,,,,0.102868447082097,,,,0.403622250970246,,,,0.6865,,,,0.131708118543468,,,,0.100942679345259,,,,0.0825203836437945,,,,0.646751966482512,,,,3092,,,
75038,ZCTA5 75038,1395,1533,778,1614,2874,7802,5572,7075,6276,7557,9883,11839,339,325,192,15118,426,17856,77.3,77.9,74.4,37.9,Zip,27393,,,,46357,,,,0.47,,,,6609,,,,4322,,,,1550,,,,0.1577775344066,,,,0.234528673021637,,,,0.834783343187769,,,,0.028178330466993,,,,0.246786632390746,,,,0.23155737704918,,,,0.66875,,,,0.203409630197496,,,,0.275873398313438,,,,0.229109626546928,,,,0.258277662176468,,,,2928,,,
75039,ZCTA5 75039,451,516,255,125,663,6045,1323,5247,1084,2907,5518,6423,10,34,12,7615,6,8699,85,76.5,75.6,48.6,Zip,10932,,,,71054,,,,0.482,,,,1212,,,,801,,,,106,,,,0.0732711306256861,,,,0.0874587458745875,,,,0.859100108983341,,,,0.000787918581746553,,,,0.0470588235294118,,,,0.0206825232678387,,,,0.71425,,,,0.121020856201976,,,,0.265916575192097,,,,0.0991584339553604,,,,0.479967069154775,,,,967,,,
75040,ZCTA5 75040,2939,2569,2114,8288,7530,5946,25544,16250,7738,6556,4755,17591,1113,952,233,28243,652,35808,77.6,82.6,64.9,24.5,Zip,59244,,,,54420,,,,0.3749,,,,17860,,,,8941,,,,3826,,,,0.150918236445885,,,,0.214221724524076,,,,0.270308680575294,,,,0.0230853662854513,,,,0.110217596972564,,,,0.404139433551198,,,,0.624,,,,0.431166025251502,,,,0.110660995206266,,,,0.130612382688542,,,,0.274289379515225,,,,5508,,,
75041,ZCTA5 75041,1808,1132,1069,5456,4030,2070,17090,8829,1858,877,3655,9354,929,405,157,13091,390,18065,74.5,75.4,63.1,25.5,Zip,29793,,,,42621,,,,0.388,,,,8788,,,,5827,,,,2463,,,,0.195582855033061,,,,0.280268548020027,,,,0.390741928586701,,,,0.0297914597815293,,,,0.146866230121609,,,,0.631972789115646,,,,0.59625,,,,0.573624676937536,,,,0.0294364448024704,,,,0.0623636424663512,,,,0.296344778974927,,,,2940,,,
75042,ZCTA5 75042,2430,2043,1595,6454,5028,2495,21178,8532,3473,4440,5034,11176,793,731,94,16920,402,21716,77.1,79.6,66.2,22.3,Zip,39193,,,,42586,,,,0.397,,,,12866,,,,9170,,,,4192,,,,0.233970351848544,,,,0.325819990673092,,,,0.450429491768075,,,,0.023758865248227,,,,0.0589341692789969,,,,0.354571875698636,,,,0.613,,,,0.54035159339678,,,,0.113285535682392,,,,0.0886127624830965,,,,0.217691934784273,,,,4473,,,
75043,ZCTA5 75043,3022,2441,1933,4572,7593,6939,15897,22504,13258,3818,7930,19940,1122,820,329,27995,585,36577,79.2,79.3,68.5,30,Zip,57596,,,,56192,,,,0.3892,,,,15512,,,,6591,,,,2574,,,,0.114435030210431,,,,0.165936049510057,,,,0.397693079237713,,,,0.0208965886765494,,,,0.170201758923952,,,,0.410763316858869,,,,0.6425,,,,0.276008750607681,,,,0.0662893256476144,,,,0.230189596499757,,,,0.390721577887353,,,,5463,,,
75044,ZCTA5 75044,1917,1453,845,3016,4253,8891,8933,19586,3727,7282,3992,14850,683,287,32,21641,435,28423,78.3,80.4,66.2,30,Zip,42012,,,,66166,,,,0.3923,,,,10178,,,,2945,,,,1025,,,,0.0700990193278111,,,,0.100707408135194,,,,0.268821548821549,,,,0.0201007347165103,,,,0.0378698224852071,,,,0.405341246290801,,,,0.63725,,,,0.212629724840522,,,,0.173331429115491,,,,0.0887127487384557,,,,0.466200133295249,,,,3370,,,
