GEOID,NAME,popm_18t24E,popf_18t24E,pop_3t4E,less_hsE,hs_degE,ba_degE,his_popE,wh_popE,bl_popE,as_popE,rohhE,thhE,hsm_18t24E,hsf_18t24E,es_3t4E,empE,emp_pubtrE,pop_o25E,emp_r25t29E,emp_r30t34E,emp_r35t44E,emp_r45t54E,type,tot_popE_2012,tot_popE_2013,tot_popE_2014,tot_popE_2015,tot_popE_2016,tot_popE_2017,tot_popE_2018,tot_popE_2019,med_incE_2012,med_incE_2013,med_incE_2014,med_incE_2015,med_incE_2016,med_incE_2017,med_incE_2018,med_incE_2019,giniE_2012,giniE_2013,giniE_2014,giniE_2015,giniE_2016,giniE_2017,giniE_2018,giniE_2019,pop_u18E_2012,pop_u18E_2013,pop_u18E_2014,pop_u18E_2015,pop_u18E_2016,pop_u18E_2017,pop_u18E_2018,pop_u18E_2019,pop_bpE_2012,pop_bpE_2013,pop_bpE_2014,pop_bpE_2015,pop_bpE_2016,pop_bpE_2017,pop_bpE_2018,pop_bpE_2019,bp_u18E_2012,bp_u18E_2013,bp_u18E_2014,bp_u18E_2015,bp_u18E_2016,bp_u18E_2017,bp_u18E_2018,bp_u18E_2019,bp_per_2012,bp_per_2013,bp_per_2014,bp_per_2015,bp_per_2016,bp_per_2017,bp_per_2018,bp_per_2019,cbp_per_2012,cbp_per_2013,cbp_per_2014,cbp_per_2015,cbp_per_2016,cbp_per_2017,cbp_per_2018,cbp_per_2019,rohh_per_2012,rohh_per_2013,rohh_per_2014,rohh_per_2015,rohh_per_2016,rohh_per_2017,rohh_per_2018,rohh_per_2019,emp_pubtr_per_2012,emp_pubtr_per_2013,emp_pubtr_per_2014,emp_pubtr_per_2015,emp_pubtr_per_2016,emp_pubtr_per_2017,emp_pubtr_per_2018,emp_pubtr_per_2019,es_3t4_per_2012,es_3t4_per_2013,es_3t4_per_2014,es_3t4_per_2015,es_3t4_per_2016,es_3t4_per_2017,es_3t4_per_2018,es_3t4_per_2019,hs_18t24_per_2012,hs_18t24_per_2013,hs_18t24_per_2014,hs_18t24_per_2015,hs_18t24_per_2016,hs_18t24_per_2017,hs_18t24_per_2018,hs_18t24_per_2019,emp_r_2012,emp_r_2013,emp_r_2014,emp_r_2015,emp_r_2016,emp_r_2017,emp_r_2018,emp_r_2019,his_per_2012,his_per_2013,his_per_2014,his_per_2015,his_per_2016,his_per_2017,his_per_2018,his_per_2019,as_per_2012,as_per_2013,as_per_2014,as_per_2015,as_per_2016,as_per_2017,as_per_2018,as_per_2019,bl_per_2012,bl_per_2013,bl_per_2014,bl_per_2015,bl_per_2016,bl_per_2017,bl_per_2018,bl_per_2019,wh_per_2012,wh_per_2013,wh_per_2014,wh_per_2015,wh_per_2016,wh_per_2017,wh_per_2018,wh_per_2019,pop_18t24E_2012,pop_18t24E_2013,pop_18t24E_2014,pop_18t24E_2015,pop_18t24E_2016,pop_18t24E_2017,pop_18t24E_2018,pop_18t24E_2019
4811428,"Burleson city, Texas",1346,1743,1316,1386,5780,5240,4874,32356,1315,246,3916,14018,464,622,159,19574,198,24693,82.2,83.7,68.6,24.4,Place,,,39335,,,,,,,,69088,,,,,,,,0.3639,,,,,,,,11450,,,,,,,,3314,,,,,,,,1330,,,,,,,,0.0842506673446041,,,,,,,,0.116157205240175,,,,,,,,0.279355114852333,,,,,,,,0.010115459282722,,,,,,,,0.120820668693009,,,,,,,,0.300420848170929,,,,,,,,0.64725,,,,,,,,0.123910003813398,,,,,,,,0.00625397228930978,,,,,,,,0.0334307868310665,,,,,,,,0.822575314605313,,,,,,,,3089,,,,,
4811428,"Burleson city, Texas",1400,1828,1201,1346,5713,5219,5202,32536,1660,393,4296,14270,513,548,202,19632,101,25118,81.5,76.9,82.2,81.8,Place,,,,40652,,,,,,,,69686,,,,,,,,0.3815,,,,,,,,12172,,,,,,,,3299,,,,,,,,1489,,,,,,,,0.0811522188330218,,,,,,,,0.122329937561617,,,,,,,,0.301051156271899,,,,,,,,0.00514466177669112,,,,,,,,0.16819317235637,,,,,,,,0.317843866171004,,,,,,,,0.806,,,,,,,,0.127964183803995,,,,,,,,0.00966742103709535,,,,,,,,0.0408343992915478,,,,,,,,0.800354226114336,,,,,,,,3228,,,,
4811428,"Burleson city, Texas",1347,1780,1241,1346,6118,5676,5201,33981,1214,400,4003,14271,476,700,213,19992,92,26198,80.9,74.8,84.1,81.4,Place,,,,,41962,,,,,,,,72670,,,,,,,,0.3803,,,,,,,,12594,,,,,,,,2955,,,,,,,,1259,,,,,,,,0.0704208569658262,,,,,,,,0.0999682388438939,,,,,,,,0.280498913881298,,,,,,,,0.00460184073629452,,,,,,,,0.171635777598711,,,,,,,,0.304445155100736,,,,,,,,0.803,,,,,,,,0.123945474476908,,,,,,,,0.00953243410704924,,,,,,,,0.0289309375148944,,,,,,,,0.8098041084791,,,,,,,,3127,,,
4811428,"Burleson city, Texas",1505,1976,1160,1436,6418,5898,5206,34920,1577,418,4092,14964,666,708,196,20996,82,27341,80.4,76.3,82.4,81.4,Place,,,,,,43296,,,,,,,,74341,,,,,,,,0.3726,,,,,,,,12474,,,,,,,,2736,,,,,,,,1102,,,,,,,,0.0631929046563193,,,,,,,,0.0883437550104217,,,,,,,,0.27345629510826,,,,,,,,0.0039055058106306,,,,,,,,0.168965517241379,,,,,,,,0.382648664176961,,,,,,,,0.80125,,,,,,,,0.120242054693274,,,,,,,,0.00965447154471545,,,,,,,,0.0364236881005174,,,,,,,,0.806541019955654,,,,,,,,3481,,
4811428,"Burleson city, Texas",1547,1915,1276,1272,6556,6182,5203,35513,1829,624,4167,15349,606,637,134,21793,58,28602,78,75.9,82.9,82.4,Place,,,,,,,44629,,,,,,,,77342,,,,,,,,0.3695,,,,,,,,12565,,,,,,,,2215,,,,,,,,775,,,,,,,,0.0496314055882946,,,,,,,,0.0616792678074015,,,,,,,,0.271483484266076,,,,,,,,0.00266140503831506,,,,,,,,0.105015673981191,,,,,,,,0.350086655112652,,,,,,,,0.798,,,,,,,,0.116583387483475,,,,,,,,0.0139819399941742,,,,,,,,0.0409823209124112,,,,,,,,0.795738197136391,,,,,,,,3462,
4811428,"Burleson city, Texas",1624,1863,1278,1082,7241,6575,5318,36358,2094,633,4620,15708,665,663,146,23186,59,29555,78,78.7,83.9,82.9,Place,,,,,,,,45862,,,,,,,,79784,,,,,,,,0.3689,,,,,,,,12820,,,,,,,,2616,,,,,,,,894,,,,,,,,0.057040687279229,,,,,,,,0.0697347893915757,,,,,,,,0.294117647058824,,,,,,,,0.0025446390062969,,,,,,,,0.114241001564945,,,,,,,,0.381416690564956,,,,,,,,0.80875,,,,,,,,0.115956565348219,,,,,,,,0.0138022763944006,,,,,,,,0.0456587152762636,,,,,,,,0.792769613187388,,,,,,,,3487
4815364,"Cleburne city, Texas",1672,1655,1214,3176,4778,1934,6766,20457,1033,162,4236,10275,803,767,124,12121,82,17919,71.4,72.9,60.5,26.6,Place,29318,,,,,,,,46057,,,,,,,,0.4033,,,,,,,,7862,,,,,,,,4248,,,,,,,,1654,,,,,,,,0.144893921822771,,,,,,,,0.210379038412618,,,,,,,,0.412262773722628,,,,,,,,0.00676511838957182,,,,,,,,0.102141680395387,,,,,,,,0.482717162608957,,,,,,,,0.5785,,,,,,,,0.230779725765741,,,,,,,,0.00552561566273279,,,,,,,,0.0352343270345863,,,,,,,,0.69776246674398,,,,,,,,3327,,,,,,,
4815364,"Cleburne city, Texas",1838,1502,1094,3135,4390,2082,7115,20199,1037,193,4047,10088,723,670,107,11958,36,17965,70,69.7,59.3,28,Place,,29677,,,,,,,,47278,,,,,,,,0.3932,,,,,,,,8261,,,,,,,,5062,,,,,,,,2051,,,,,,,,0.170569801529804,,,,,,,,0.248275027236412,,,,,,,,0.401169706582078,,,,,,,,0.00301053687907677,,,,,,,,0.0978062157221207,,,,,,,,0.432934131736527,,,,,,,,0.5675,,,,,,,,0.239747952960205,,,,,,,,0.00650335276476733,,,,,,,,0.0349428850625063,,,,,,,,0.680628095831789,,,,,,,,3340,,,,,,
4815364,"Cleburne city, Texas",1743,1526,970,3156,4291,2192,7570,19736,981,187,4209,10495,816,754,92,12380,24,18312,71.5,69.2,59.6,24.7,Place,,,29765,,,,,,,,48260,,,,,,,,0.4071,,,,,,,,8087,,,,,,,,5087,,,,,,,,2169,,,,,,,,0.170905425835713,,,,,,,,0.268208235439594,,,,,,,,0.401048118151501,,,,,,,,0.00193861066235864,,,,,,,,0.0948453608247423,,,,,,,,0.499235240134598,,,,,,,,0.5625,,,,,,,,0.254325550142785,,,,,,,,0.00628254661515202,,,,,,,,0.0329581723500756,,,,,,,,0.663060641693264,,,,,,,,3269,,,,,
4815364,"Cleburne city, Texas",1691,1470,930,3309,4072,2372,8808,19296,916,208,4347,10431,711,625,64,12006,51,18380,64.3,71.3,74.7,66.6,Place,,,,29780,,,,,,,,48059,,,,,,,,0.4292,,,,,,,,8137,,,,,,,,5357,,,,,,,,2296,,,,,,,,0.179885829415715,,,,,,,,0.282167875138257,,,,,,,,0.416738567730802,,,,,,,,0.00424787606196902,,,,,,,,0.0688172043010753,,,,,,,,0.449857639987346,,,,,,,,0.69225,,,,,,,,0.295768972464741,,,,,,,,0.00698455339153794,,,,,,,,0.0307588985896575,,,,,,,,0.647951645399597,,,,,,,,3161,,,,
4815364,"Cleburne city, Texas",1902,1437,892,3026,4217,2397,8400,19631,976,125,4386,10544,854,568,46,11996,55,18501,59.5,72.2,77.6,68.2,Place,,,,,29759,,,,,,,,49573,,,,,,,,0.4439,,,,,,,,7882,,,,,,,,5387,,,,,,,,2148,,,,,,,,0.181020867636681,,,,,,,,0.27251966505963,,,,,,,,0.415971168437026,,,,,,,,0.00458486162054018,,,,,,,,0.0515695067264574,,,,,,,,0.511530398322851,,,,,,,,0.69375,,,,,,,,0.282267549312813,,,,,,,,0.0042004099600121,,,,,,,,0.0327968009677745,,,,,,,,0.65966598339998,,,,,,,,3339,,,
4815364,"Cleburne city, Texas",1713,1326,834,3085,4633,2383,8673,19123,1129,203,4342,10571,772,634,4,12356,28,18799,64.1,77.5,77.5,67.4,Place,,,,,,29595,,,,,,,,49046,,,,,,,,0.4378,,,,,,,,7757,,,,,,,,4640,,,,,,,,1739,,,,,,,,0.156783240412232,,,,,,,,0.224184607451334,,,,,,,,0.410746381610065,,,,,,,,0.00226610553577209,,,,,,,,0.00479616306954436,,,,,,,,0.508061862454755,,,,,,,,0.71625,,,,,,,,0.293056259503295,,,,,,,,0.00685926676803514,,,,,,,,0.0381483358675452,,,,,,,,0.646156445345498,,,,,,,,3039,,
4815364,"Cleburne city, Texas",1907,1180,799,2975,5250,2241,8615,19397,1101,234,4220,10915,984,596,4,12895,52,19163,71.8,81.5,74.7,68,Place,,,,,,,29878,,,,,,,,50253,,,,,,,,0.431,,,,,,,,7628,,,,,,,,4385,,,,,,,,1855,,,,,,,,0.146763504920008,,,,,,,,0.243183009963293,,,,,,,,0.386623912047641,,,,,,,,0.00403257076386196,,,,,,,,0.00500625782227785,,,,,,,,0.637512147716229,,,,,,,,0.74,,,,,,,,0.288339246268157,,,,,,,,0.00783184952138697,,,,,,,,0.0368498560813977,,,,,,,,0.649206774215142,,,,,,,,3087,
