GEOID,NAME,exp_blwh,exp_aswh,exp_hiswh,exp_whbl,exp_asbl,exp_hisbl,exp_blhis,exp_ashis,exp_whhis,exp_blas,exp_whas,exp_hisas,Geoid2
48113012702,"Census Tract 127.02, Dallas County, Texas",6.65335738965989e-05,0,0.000268458394239291,2.33336444311199e-05,0,0.000101498432304756,0.000187719726351118,0,0.000174128271634188,0,0,0,48113012702
48113012800,"Census Tract 128, Dallas County, Texas",0.000198113529159264,4.41403705594858e-05,0.000689108452992632,6.9479367718632e-05,3.99818323788997e-06,6.24186392393423e-05,0.000115442274438651,2.5720932808458e-05,0.000446971547409167,1.72731582701223e-06,6.68785357719452e-06,6.00821126368e-06,48113012800
48113012900,"Census Tract 129, Dallas County, Texas",0.000176107732558074,3.93994750210803e-05,0.000312562067512463,6.17618289897834e-05,3.19712180412386e-06,2.53632567604382e-05,4.6908937510944e-05,1.04946414611203e-05,0.000202734925643044,1.38123711810254e-06,5.96954480942145e-06,2.45146719617618e-06,48113012900
48113013004,"Census Tract 130.04, Dallas County, Texas",0.000254836110015852,0.000100799548309509,0.000105084908161323,8.9372249693979e-05,5.35789020450882e-06,5.58567384002994e-06,1.03306143841582e-05,4.0862390483754e-06,6.8160481570408e-05,2.31474347196905e-06,1.52724730489711e-05,9.54513884055749e-07,48113013004
48113013005,"Census Tract 130.05, Dallas County, Texas",4.1266943786402e-05,4.68915212980587e-05,0.000163896773462596,1.44725157041375e-05,8.82324211903261e-07,3.08392834089729e-06,5.70367611690264e-06,6.48107239288941e-06,0.000106307206263119,3.81186275139533e-07,7.10468952748566e-06,1.51392845825867e-06,48113013005
48113013007,"Census Tract 130.07, Dallas County, Texas",0.000126785950461902,0.000867936326566142,0.000175749632872839,4.44644427419048e-05,0.000203036132059541,4.11130685249253e-05,7.60379623379866e-05,0.00052053172666823,0.00011399524272358,8.77167211943182e-05,0.000131503904313169,0.000121592191331507,48113013007
48113013008,"Census Tract 130.08, Dallas County, Texas",0.000266319292729024,0.000533674892981722,0.000163042172258265,9.33994571123443e-05,0.000118147192368181,3.60949618264748e-05,6.67570542998662e-05,0.000133773875126297,0.000105752892321592,5.10425618717561e-05,8.08588486423502e-05,3.12485441062868e-05,48113013008
48113013009,"Census Tract 130.09, Dallas County, Texas",0.000706823485492567,0.000109500756042284,0.000214408274117125,0.000247886396598507,6.33798527187391e-05,0.00012410110510995,0.000229523008012209,3.55575945370879e-05,0.000139070124075934,2.73816921839126e-05,1.65908218195851e-05,8.30597947586281e-06,48113013009
48113013010,"Census Tract 130.10, Dallas County, Texas",0.000208121244412516,3.80500092977623e-05,0.000220492304628314,7.29891216009379e-05,6.26599198459571e-05,0.000363101885903429,0.000671551127555421,0.000122777118306861,0.000143016365803577,2.70706630560432e-05,5.76508279311756e-06,2.86797866401984e-05,48113013010
48113013011,"Census Tract 130.11, Dallas County, Texas",0.000153877676461654,2.75238721479775e-05,0.000148474718786228,5.39656413771378e-05,7.62775912340502e-05,0.000411471679830435,0.000761010287401103,0.000136120783308963,9.63041078930586e-05,3.29538399681946e-05,4.17023292894712e-06,3.17967637328037e-05,48113013011
48113013101,"Census Tract 131.01, Dallas County, Texas",2.62300547197482e-05,0.000182142541860745,6.47070343945299e-05,9.19900637219055e-06,2.19945710926183e-06,7.81367962499984e-07,1.44512754305028e-06,1.00350230610071e-05,4.19704665731194e-05,9.50220850224841e-07,2.75970191165716e-05,2.34410388749995e-06,48113013101
48113013102,"Census Tract 131.02, Dallas County, Texas",1.42066144265643e-05,6.77018690356483e-05,1.6266480430093e-05,4.98232802155869e-06,6.63743814074983e-07,1.59475298334245e-07,2.94947012316214e-07,1.4055751356882e-06,1.05508122809478e-05,2.86754039751875e-07,1.02577341620326e-05,3.28331496570505e-07,48113013102
48113013104,"Census Tract 131.04, Dallas County, Texas",8.75625890773071e-05,3.37798942575445e-05,2.40667033797058e-05,3.0708621216913e-05,5.060658315737e-06,3.60549863366378e-06,6.66831202711078e-06,2.57250131049964e-06,1.56102157852641e-05,2.18633181216747e-06,5.11810353615217e-06,6.00916438943964e-07,48113013104
48113013105,"Census Tract 131.05, Dallas County, Texas",0.000785538770721001,0.000358391701332458,0.000306681699055845,0.000275492225794891,0.000235095571021357,0.000201175163635978,0.000372070245902877,0.000169752141351249,0.000198920783795014,0.000101567206034303,5.43011123697515e-05,3.96527892396264e-05,48113013105
48113013200,"Census Tract 132, Dallas County, Texas",0.000253040191475887,0.000725767427657764,0.000274748638647084,8.87424124225901e-05,5.20324202957446e-05,1.96975451046419e-05,3.64302944673058e-05,0.000104489017930857,0.000178208268424712,2.24793156658883e-05,0.000109963424088862,2.44078276296649e-05,48113013200
48113013300,"Census Tract 133, Dallas County, Texas",5.48749993690986e-06,0.000352021476243149,2.20408964304315e-05,1.9244926259732e-06,1.46762974014416e-06,9.18917659398575e-08,1.69952350636875e-07,1.09023923553566e-05,1.42962309358009e-05,6.34053000452956e-07,5.33359384912573e-05,2.54671465604748e-06,48113013300
48113013400,"Census Tract 134, Dallas County, Texas",2.57998546914511e-05,0.000149296013146857,2.96432363210803e-05,9.04813315275186e-06,2.81856779982267e-06,5.59636319925999e-07,1.0350384183001e-06,5.98945657462318e-06,1.92272829495977e-05,1.21769225682365e-06,2.26203328818796e-05,1.399090799815e-06,48113013400
48113013500,"Census Tract 135, Dallas County, Texas",1.76821146974624e-05,0.000249291380497803,4.04151218985044e-05,6.20120268576101e-06,2.69636694737054e-06,4.37135045116567e-07,8.08474270827927e-07,1.13982784593391e-05,2.62141749898079e-05,1.16489841173056e-06,3.77709618132716e-05,2.66254982025545e-06,48113013500
48113013605,"Census Tract 136.05, Dallas County, Texas",3.1143017104429e-05,0.000206855810947044,0.000353247899334801,1.09220059147338e-05,2.09728175084065e-06,3.58153038778947e-06,6.6239831399105e-06,4.39973236861136e-05,0.00022912468929822,9.0607852276496e-07,3.13414082770622e-05,1.02774350258307e-05,48113013605
48113013606,"Census Tract 136.06, Dallas County, Texas",0.000343863166808479,0.000216179377599847,0.000413393624392681,0.000120594466783605,6.44480293911947e-05,0.000123242118424023,0.000227934325882249,0.000143297408559928,0.000268136586021324,2.78431714014963e-05,3.27540527066582e-05,3.34731679670187e-05,48113013606
48113013607,"Census Tract 136.07, Dallas County, Texas",8.58656019697594e-05,0.000116276319648325,0.000316460148595188,3.0113479674791e-05,7.11895834581582e-06,1.93751111384809e-05,3.58339580065385e-05,4.85251446429078e-05,0.00020526331043633,3.07556925006219e-06,1.76174098777689e-05,1.1335099033397e-05,48113013607
48113013608,"Census Tract 136.08, Dallas County, Texas",1.79959854254076e-05,0.000280224181317353,3.27291023052007e-05,6.31127865995399e-06,2.67575173132889e-06,3.12517469928131e-07,5.77996059670209e-07,9.0002558235608e-06,2.12288464016634e-05,1.15599211934042e-06,4.24576928033269e-05,2.10239025224379e-06,48113013608
48113013609,"Census Tract 136.09, Dallas County, Texas",0.000140702271431361,3.13154538996591e-05,0.000389160563421661,4.93449634515743e-05,6.62337316645899e-06,8.23093812234076e-05,0.000152229883442878,3.38811011976556e-05,0.0002524184668869,2.8614639744902e-06,4.74470802418984e-06,7.91436357917381e-06,48113013609
48113013610,"Census Tract 136.10, Dallas County, Texas",7.78897241246142e-05,8.04109344723046e-05,0.000475911363165534,2.73163009458399e-05,8.22647888693606e-06,4.86883383065604e-05,9.00483025782643e-05,9.2963073619038e-05,0.000308687025242425,3.5540460095285e-06,1.21833267129333e-05,2.17154560522218e-05,48113013610
48113013611,"Census Tract 136.11, Dallas County, Texas",9.98043041363008e-05,0.000412746831123691,4.82072360725214e-05,3.50018495779443e-05,3.22458461815383e-05,3.76619031816573e-06,6.96550872617933e-06,2.88062892555076e-05,3.12683189562969e-05,1.39310174523587e-05,6.25366379125938e-05,6.72892670178945e-06,48113013611
48113013615,"Census Tract 136.15, Dallas County, Texas",0.000200004853212102,2.30704592212465e-05,0.000235610625826168,7.01426641623424e-05,4.03733036371813e-05,0.000412318595195794,0.000762576643816841,8.79628323098455e-05,0.000152822455673303,1.74422837103578e-05,3.49548160277454e-06,2.05474382987937e-05,48113013615
48113013616,"Census Tract 136.16, Dallas County, Texas",0.000311802081405165,0.00059599650259186,0.000474155686119642,0.000109350489900004,0.000136601453809533,0.000108675731777498,0.000200994026873491,0.000384191588839312,0.000307548252843763,5.90152674649826e-05,9.03014018988069e-05,8.97441880768966e-05,48113013616
48113013617,"Census Tract 136.17, Dallas County, Texas",0.000135295192187546,0.000138515316271656,0.000137513459595565,4.74486747495405e-05,1.36223100635955e-05,1.35237823148357e-05,2.50120189812438e-05,2.56073232445472e-05,8.9194383783992e-05,5.88518093676324e-06,2.09869138315275e-05,5.98167294694657e-06,48113013617
48113013618,"Census Tract 136.18, Dallas County, Texas",4.28778093648217e-05,0.000441965548147206,7.42601629880736e-05,1.50374540116992e-05,1.68067706960316e-05,2.82391588308776e-06,5.22278723695095e-06,5.38341873857262e-05,4.81668448812238e-05,7.26094810990742e-06,6.69636623958478e-05,1.25752504168752e-05,48113013618
48113013619,"Census Tract 136.19, Dallas County, Texas",0.000149063521910982,0.000704248171463831,0.000175547667836938,5.2277294217305e-05,4.0122359404417e-05,1.00012849261939e-05,1.84972164286e-05,8.73897965109905e-05,0.000113864243569199,1.7333869483405e-05,0.000106702970388746,2.04135815616835e-05,48113013619
48113013620,"Census Tract 136.20, Dallas County, Texas",0.000486290050357065,0.000359146783566175,0.00017072289404866,0.000170544260001088,0.000160133883174466,7.61207428877271e-05,0.000140784095872763,0.00010397530274956,0.000110734784633264,6.91818694618305e-05,5.44155173770913e-05,2.42878277306887e-05,48113013620
48113013621,"Census Tract 136.21, Dallas County, Texas",0.000237089878541328,0.000107746173695252,0.000278029952799548,8.31485609460633e-05,6.03062832990273e-05,0.000155615299588904,0.000287808006405114,0.000130795172024199,0.000180336604041397,2.60538328067394e-05,1.6324979243337e-05,3.05527420658843e-05,48113013621
48113013622,"Census Tract 136.22, Dallas County, Texas",0.000199909016874177,4.79356106661777e-05,0.000175958961346912,7.01090538976028e-05,1.8478845839529e-05,6.78309606496247e-05,0.000125452276278008,3.00818420643495e-05,0.000114131017972842,7.98332667223689e-06,7.26288296190812e-06,7.02688598695901e-06,48113013622
48113013623,"Census Tract 136.23, Dallas County, Texas",0.000271118706346469,0.000118759223865517,0.000339545147010111,9.5082634555982e-05,0.000136852488741219,0.000391275699653922,0.000723658145244423,0.000316986905224315,0.000220236769865897,5.91237208761532e-05,1.79936029101405e-05,7.40456929999646e-05,48113013623
48113013624,"Census Tract 136.24, Dallas County, Texas",0.000278194993153638,0.000497450932116626,0.000148090875200286,9.75643223803532e-05,0.000452565045029943,0.00013472837073271,0.00024917796572205,0.000445564493832938,9.60551381397107e-05,0.000195519494360462,7.53704364885531e-05,0.000104080424706161,48113013624
48113013625,"Census Tract 136.25, Dallas County, Texas",0.000109925950969675,3.67342112673795e-05,0.000134537937153042,3.85515598134768e-05,5.22303757191554e-05,0.000191292170528337,0.000353791808299763,0.00011822743325038,8.72643916837508e-05,2.25648373930217e-05,5.56572188035625e-06,2.76170153477996e-05,48113013625
48113013626,"Census Tract 136.26, Dallas County, Texas",8.19452662290378e-05,0.000133195447432414,0.000154188696314057,2.87385990714016e-05,9.42420618625572e-05,0.000109095775693908,0.000201770891375272,0.000327962375281699,0.000100010324768478,4.07149435980754e-05,2.01808829034731e-05,7.66094780428334e-05,48113013626
48113013711,"Census Tract 137.11, Dallas County, Texas",1.83198888804526e-05,1.63740838508684e-05,0.00013740072318921,6.42487315980421e-06,9.72813217022181e-06,8.16321943653542e-05,0.000150977437185377,0.000134941714559215,8.91212603652049e-05,4.2027980372803e-06,2.48089161616202e-06,3.15213423787011e-05,48113013711
48113013712,"Census Tract 137.12, Dallas County, Texas",0,7.18550792499662e-05,0.00020762787187784,0,0,0,0,0.000117728123221468,0.000134672199674066,0,1.08870007820587e-05,2.75003803811708e-05,48113013712
48113013713,"Census Tract 137.13, Dallas County, Texas",1.81260422299513e-06,0,2.45311843893413e-05,6.35689020695713e-07,0,1.47187106336048e-05,2.72220197853451e-05,0,1.59114888210503e-05,0,0,0,48113013713
48113013714,"Census Tract 137.14, Dallas County, Texas",2.0944097735592e-05,3.14797936360823e-05,0.000418484081337332,7.34519582928805e-06,4.64357109191253e-06,6.17304104654686e-05,0.000114169406334534,0.000171601058987495,0.000271438373145963,2.00613962984597e-06,4.76960768135588e-06,4.00846821204341e-05,48113013714
48113013715,"Census Tract 137.15, Dallas County, Texas",1.19586436742e-05,4.85472196000005e-05,0.000194475435482473,4.19395386464441e-06,5.80067881250006e-06,2.32369546072807e-05,4.29763757041564e-05,0.000174466570437502,0.000126141227775074,2.5060392993728e-06,7.3555498549148e-06,4.0754043465077e-05,48113013715
48113013716,"Census Tract 137.16, Dallas County, Texas",0.000126788062745802,0.000469113392819127,0.000406991398937715,4.44651835300298e-05,0.000100687752605081,8.73542514793145e-05,0.000161560290252239,0.000597769965592286,0.000263983955755303,4.34996442916492e-05,7.10769221578507e-05,0.000139634447440419,48113013716
48113013717,"Census Tract 137.17, Dallas County, Texas",2.49081949808479e-06,6.47302777970271e-05,0.000153531159564985,8.73542380283618e-07,3.54245301376765e-06,8.40220276226284e-06,1.55397395552155e-05,0.000403839643569512,9.95838313523324e-05,1.53042889558941e-06,9.80749854227516e-06,9.43338219217691e-05,48113013717
48113013718,"Census Tract 137.18, Dallas County, Texas",4.64742894474653e-05,4.06143351752954e-05,0.000338633033634799,1.62987568778646e-05,1.29507749908209e-05,0.000107980598577691,0.000199708389144097,0.000174527110590586,0.000219645152211223,5.59506087708096e-06,6.15361229062235e-06,4.07681851772915e-05,48113013718
48113013719,"Census Tract 137.19, Dallas County, Texas",0.000192560147349135,0.00100271703643563,9.5627199969873e-05,6.75317700027903e-05,0.000639945425692661,6.10303674604475e-05,0.000112874687998964,0.000587771531113896,6.20259951235819e-05,0.000276472536763067,0.000151924975573156,0.000137298890363249,48113013719
48113013720,"Census Tract 137.20, Dallas County, Texas",0.000122032182279497,0.00030898512141347,0.000527133638529847,4.27972733719172e-05,7.19081227679723e-05,0.000122676426039974,0.000226888086870264,0.000574479958969455,0.000341910967833723,3.10661195742012e-05,4.68153579898046e-05,0.000134194081759885,48113013720
48113013721,"Census Tract 137.21, Dallas County, Texas",0.000343024083479849,0.000913516473565974,0.000234330571996243,0.000120300196223771,0.000123573864787834,3.16985355573099e-05,5.86259342674651e-05,0.000156128270027639,0.000151992183401001,5.33870209925002e-05,0.000138409903182188,3.64703581143243e-05,48113013721
48113013722,"Census Tract 137.22, Dallas County, Texas",0.000314108509443924,0.000353605839500563,0.000256900190208797,0.000110159365308471,0.000211820820875867,0.000153891149676863,0.000284619218732956,0.000320408440879977,0.000166631355410994,9.15119279482299e-05,5.35759906100856e-05,7.48449373049251e-05,48113013722
48113013725,"Census Tract 137.25, Dallas County, Texas",0.000233018497403223,8.71639065641289e-05,0.000245559632886435,8.17207079951943e-05,7.24010106775917e-05,0.000203969352721885,0.000377238053904136,0.000141111297383549,0.000159275609834451,3.12790595613335e-05,1.32064918560563e-05,3.29625092793502e-05,48113013725
