GEOID,NAME,TYPE,tot_popE_19,tot_popM_19,popf_18t24M_19,pop_3t4E_19,pop_3t4M_19,med_incE_19,med_incM_19,giniE_19,giniM_19,less_hsE_19,less_hsM_19,hs_degE_19,hs_degM_19,ba_degE_19,ba_degM_19,his_popE_19,his_popM_19,wh_popE_19,wh_popM_19,bl_popE_19,bl_popM_19,as_popE_19,as_popM_19,rohhE_19,rohhM_19,thhE_19,thhM_19,hsf_18t24M_19,es_3t4E_19,es_3t4M_19,empE_19,empM_19,emp_pubtrE_19,emp_pubtrM_19,pop_bpE_19,pop_bpM_19,bp_u18E_19,bp_u18M_19,pop_o25E_19,pop_o25M_19,pop_u18E_19,pop_u18M_19,emp_r45t54M_19,pop_18t24E_19,wh_per_19,bl_per_19,as_per_19,his_per_19,emp_r_19,hs_18t24_per_19,es_3t4_per_19,emp_pubtr_per_19,bp_per_19,cbp_per_19,rohh_per_19,per_rohh,per_tot_pop,per_med_inc,per_gini,per_less_hs,per_hs_deg,per_wh,per_bl,per_as,per_his,per_hs_18t24,per_es_3t4,per_emp_pubtr,per_bp,per_cbp
48085,"Collin County, Texas",COUNTY,973977,0,38,27082,1060,96913,1017,0.43,0.0045,30677,1774,74707,2218,289924,3236,148696,0,554789,595,93804,885,146966,1240,119335,2005,341163,1816,881,3143,486,503576,3250,5790,553,60908,3343,17875,1714,638328,55,256118,0,0.8,79531,0.569612013425368,0.0963102824810031,0.150892680217295,0.152668902859102,0.819,0.344293420175781,0.116054944243409,0.0114977679635249,0.062535357611114,0.0697920489774245,0.349788810627178,0.066363419537239,0.163726018493405,0.0653100240910244,0.000465332712889665,0.110278682591386,0.119239527776113,0.0780116624987127,0.295366981978872,0.47637751770556,0.189349159754605,0.433237372415598,0.106300598380852,0.297333632086041,-0.069154707869118,-0.205873206273046
48113,"Dallas County, Texas",COUNTY,2606868,0,24,79624,1900,59607,489,0.4982,0.0031,288448,3514,314790,4470,441013,4445,1047434,0,759485,567,580189,2034,162770,1163,464121,3200,928341,2073,1260,11652,944,1282441,4245,33258,1855,395812,8268,158902,5278,1669564,35,687338,0,0.6,249966,0.291340029491328,0.222561710067407,0.0624389113679711,0.401797866251763,0.79175,0.366209804533417,0.146337787601728,0.0259333567782066,0.151834308449833,0.231184657330164,0.4999466790759,0.0419832855663776,0.0644870052100029,0.105491570689367,0.00221283443975053,-0.0147018636935017,0.0481086498346879,-0.0312370053088495,0.0872414426367136,0.236027580341413,0.102377602064497,0.28826153651294,0.126341227646206,0.0274962926347009,-0.153066137152908,-0.183438763816875
48121,"Denton County, Texas",COUNTY,833822,0,69,22000,793,86913,996,0.4322,0.0049,32936,1377,78157,2314,216414,2833,160933,0,494029,283,79871,1176,72148,824,101387,1674,290229,1430,657,2633,442,445453,2252,3708,579,62681,3261,17390,1914,547409,68,208913,68,0.8,77500,0.592487365408924,0.0957890293132107,0.0865268606489155,0.193006421034705,0.8315,0.301006451612903,0.119681818181818,0.00832411051222015,0.0751731184833214,0.0832403919334843,0.349334491039834,-0.0111598598678964,0.176672635956575,0.0778575446679702,0.0136022514071294,0.133184242215723,0.111985317132857,0.109793464733553,0.350541088941495,0.457918241154243,0.216728284454928,0.396969878435834,0.344053088310362,0.0813648293963255,0.0122083165119096,-0.10309969570375
48139,"Ellis County, Texas",COUNTY,173772,0,45,4742,338,76871,1630,0.4176,0.0214,12023,917,23996,1050,22470,929,45577,0,105705,35,17028,535,1104,184,14685,707,57307,535,358,593,188,83835,1136,190,69,15026,1623,5961,887,111737,77,46558,0,1.9,15477,0.608297078931013,0.0979904702713901,0.00635315240660175,0.262280459452616,0.8085,0.367125411901531,0.125052720371151,0.00226635653366732,0.0864696268673895,0.128033850251299,0.256251417802363,-0.0624621549208006,0.125123828886285,0.149905519594362,0.025792188651437,0.0270801298479412,0.0319084888621312,0.0618815611030187,0.277802791535344,0.215859030837004,0.212573496155586,0.100522951772225,0.0665467625899281,-0.375,-0.178637804744725,-0.192604632263308
48251,"Johnson County, Texas",COUNTY,167212,0,92,4673,418,64359,1479,0.4098,0.0106,11565,702,31266,1200,15759,931,35714,0,120380,113,5794,242,1536,164,15278,690,57310,619,335,394,166,77369,1182,70,55,16799,1686,6270,888,109104,135,43566,0,2.1,14542,0.719924407339186,0.0346506231610172,0.00918594359256513,0.213585149391192,0.7715,0.51946087195709,0.084314145088808,0.000904755134485388,0.100465277611655,0.14391957030712,0.266585238178328,0.0503844968324119,0.0868225720488255,0.0235424789451686,0.0232209737827715,-0.0985267752747681,0.214779703162639,0.0399281259178631,0.586527929901424,0.392565729827743,0.216706980547133,0.483503534956795,-0.237911025145068,-0.715447154471545,-0.10861721320174,-0.142505470459519
48257,"Kaufman County, Texas",COUNTY,123804,0,49,3591,347,70107,2360,0.4092,0.0119,8637,709,20763,884,13675,837,26524,0,78847,12,14504,271,1590,105,8892,565,38015,526,240,305,127,57844,1034,92,80,13864,1443,4868,789,79429,76,34335,0,2.7,10040,0.636869568026881,0.117152919130238,0.0128428806823689,0.214241866175568,0.78175,0.429482071713147,0.0849345586187691,0.00159048475209183,0.111983457723498,0.141779525265764,0.233907668025779,0.0342094065036248,0.155761349527161,0.0562145314581898,0.0189243027888446,-0.00300126976797876,0.223728413980079,0.0705053357590898,0.462391611211938,1.00251889168766,0.357142857142857,0.344139650872818,-0.313063063063063,-0.26984126984127,-0.0522286026797922,-0.140384954970864
48397,"Rockwall County, Texas",COUNTY,97175,0,116,2240,331,100920,4011,0.3996,0.0144,3799,375,8926,839,21590,951,17138,0,68827,66,6042,254,2580,240,6016,562,33032,290,355,349,165,47766,930,383,145,4579,963,1642,571,63085,170,26392,0,2.2,7698,0.708278878312323,0.0621764857216362,0.0265500385901724,0.176362233084641,0.8255,0.420628734736295,0.155803571428571,0.00801825566302391,0.04712117314124,0.0622158229766596,0.182126422862679,-0.0198113554724111,0.167421521161955,0.0790725365133254,0.0196478693544271,0.11899852724595,-0.0246940559440559,0.128607503607504,0.39120423670274,0.419922949917446,0.24967186816392,0.681204569055036,0.151815181518152,1.55333333333333,-0.111908456167572,-0.0552359033371692
48439,"Tarrant County, Texas",COUNTY,2049770,0,106,58529,1509,67700,579,0.4586,0.0033,146992,3250,257363,4198,356717,4768,590485,0,957676,852,330853,2011,110144,1335,279622,3049,708252,2589,1259,7088,707,1001794,4666,5692,571,241703,6244,91928,3775,1314012,164,543644,0,0.7,192114,0.467211443235095,0.161409816711143,0.0537348092712841,0.288073783887948,0.79925,0.361410412567538,0.121102359514087,0.00568180683853167,0.117917132166048,0.169095952498326,0.394805803584035,0.0181637955755466,0.0894519123089458,0.0858902278861743,-0.00369324353682377,-0.00353864717925078,0.108845325290823,0.00803755631341838,0.178830764407009,0.225088146640417,0.149384902869156,0.250036007489558,0.173704255671469,0.126682501979414,-0.150804915924757,-0.18708216900711
