GEOID,NAME,TYPE,tot_popE_19,pop_3t4E_19,med_incE_19,giniE_19,less_hsE_19,hs_degE_19,ba_degE_19,his_popE_19,wh_popE_19,bl_popE_19,as_popE_19,rohhE_19,thhE_19,es_3t4E_19,empE_19,emp_pubtrE_19,pop_bpE_19,bp_u18E_19,pop_o25E_19,pop_u18E_19,pop_18t24E_19,wh_per_19,bl_per_19,as_per_19,his_per_19,emp_r_19,hs_18t24_per_19,es_3t4_per_19,emp_pubtr_per_19,bp_per_19,cbp_per_19,rohh_per_19,per_rohh,per_tot_pop,per_med_inc,per_gini,per_less_hs,per_hs_deg,per_wh,per_bl,per_as,per_his,per_emp_r,per_hs_18t24,per_es_3t4,per_emp_pubtr,per_bp,per_cbp
4874924,"Van Alstyne city, Texas",PLACE,3906,63,67772,0.3386,124,674,289,695,2734,295,0,371,1277,0,1953,58,392,81,2343,1003,560,0.69994879672299,0.0755248335893497,0,0.177931387608807,0.82225,0.632142857142857,0,0.0296979006656426,0.100358422939068,0.0807577268195414,0.290524667188724,-0.154897494305239,0.259593679458239,0.333415181399712,-0.129786687226934,1.0327868852459,-0.0804911323328786,-0.0154843356139719,14.5263157894737,-1,1.82520325203252,0.3095,3.48101265822785,0,Inf,0.159763313609467,-0.276785714285714
4877740,"Weston city, Texas",PLACE,263,10,81250,0.4917,10,85,28,21,222,11,3,19,94,0,132,0,24,13,190,50,23,0.844106463878327,0.0418250950570342,0.0114068441064639,0.0798479087452472,0.77425,0.347826086956522,0,0,0.091254752851711,0.26,0.202127659574468,1.50975177304965,-0.386946386946387,0.182996532400564,0.3500823723229,-0.777777777777778,-0.0760869565217391,-0.378151260504202,Inf,Inf,-0.708333333333333,0.10825,-0.652173913043478,0,-1,-0.478260869565217,-0.0714285714285714
4838632,"Keller city, Texas",PLACE,46813,1002,141364,0.4167,661,2795,14966,4736,36918,886,2861,2788,15524,100,23246,36,1427,451,30978,12808,3027,0.788627090765386,0.0189263666075663,0.0611155021041164,0.101168478841347,0.8105,0.259663032705649,0.0998003992015968,0.00154865353179042,0.030482985495482,0.035212367270456,0.179592888430817,0.119099045323076,0.116908834967671,0.145507785278146,0.0268605224248399,0.247169811320755,0.182818451121456,0.0488068181818182,-0.0614406779661017,0.699940582293524,0.573944832170156,0.19175,0.53515625,0.0416666666666667,-0.28,-0.192873303167421,-0.27258064516129
4865408,"Sanger city, Texas",PLACE,8235,347,65727,0.3922,491,1306,935,1648,5797,525,53,981,2793,48,4263,42,762,324,5274,2098,863,0.70394656952034,0.063752276867031,0.00643594414086217,0.200121432908318,0.83975,0.491309385863268,0.138328530259366,0.00985221674876847,0.0925318761384335,0.15443279313632,0.351235230934479,-0.0121766482862658,0.13790244576482,0.129893678907826,0.0453091684434969,0.647651006711409,0.0626525630593979,0.110536398467433,0.166666666666667,1.78947368421053,0.137336093857833,0.19375,0.723577235772358,0.371428571428571,Inf,-0.0673194614443085,-0.26530612244898
4853130,"Oak Point city, Texas",PLACE,4410,121,90625,0.4262,104,552,944,898,2978,369,123,118,1551,30,2229,0,202,67,3149,1081,180,0.675283446712018,0.0836734693877551,0.027891156462585,0.203628117913832,0.872,0.244444444444444,0.247933884297521,0,0.0458049886621315,0.0619796484736355,0.076079948420374,-0.31202918436961,0.464629691132514,-0.0676440329218107,0.0716620568267539,0.704918032786885,0.126530612244898,0.197908286403862,16.5714285714286,0.413793103448276,1.85987261146497,0.23725,0.76,5,-1,0.541984732824428,1.79166666666667
4843012,"Little Elm city, Texas",PLACE,45967,1299,98803,0.3487,1673,4472,11367,10441,22563,7999,2721,3395,14468,122,23950,70,2314,810,28840,14079,3048,0.490852133051972,0.174016142014924,0.05919463963278,0.227141209998477,0.81425,0.276246719160105,0.0939183987682833,0.00292275574112735,0.0503404616355211,0.0575324952056254,0.234655792092895,0.188230031450954,0.521431172012048,0.117487836944021,0.0493529942822751,-0.0579954954954955,0.351465699607132,0.370194935325196,0.717629375134207,2.66218034993271,0.460483983773954,0.141,1.2573726541555,0.506172839506173,9,0.0604949587534372,-0.301121656600518
4826232,"Flower Mound town, Texas",PLACE,76555,1874,137285,0.3749,1064,4480,27849,8518,54448,2943,8323,3560,25109,177,40004,82,2235,723,49982,21289,5284,0.711227222258507,0.0384429495134217,0.108719221474757,0.111266409770753,0.8195,0.486752460257381,0.0944503735325507,0.00204979502049795,0.0291946966233427,0.0339612006200385,0.141781831215899,0.322734704144245,0.131968061511164,0.0457983261132607,0.0548677546426562,0.367609254498715,0.087114777966513,0.05640169961778,0.150058616647128,0.348946515397083,0.473702422145329,0.1585,1.42870632672332,-0.106060606060606,-0.496932515337423,0.05873993368072,-0.0256064690026954
4872530,"The Colony city, Texas",PLACE,43005,1047,87187,0.4035,1713,5068,11048,9389,26171,3616,2265,6270,16391,35,26444,111,2425,852,30373,9520,3112,0.608557144518079,0.0840832461341704,0.0526682943843739,0.218323450761539,0.885,0.402956298200514,0.0334288443170965,0.00419754953864771,0.0563887920009301,0.0894957983193277,0.382526996522482,0.0494528670051524,0.111527526492634,0.13025836477009,0.0375417845204423,0.609962406015038,-0.0219992280972597,0.051635457687053,0.301655867530598,-0.18554476806904,0.347445464982778,0.2065,0.052013422818792,-0.363636363636364,-0.621160409556314,-0.0680245964642583,-0.0828848223896663
4813024,"Carrollton city, Texas",PLACE,135834,2864,78306,0.406,9495,16202,31665,44413,54405,13484,20483,19891,48817,390,75398,1474,10789,3719,93219,30732,11883,0.400525641591943,0.0992682244504321,0.150794351929561,0.32696526642814,0.83875,0.398552554068838,0.136173184357542,0.0195495901748057,0.0794278310290502,0.12101392685149,0.407460515803921,0.0598700497216417,0.0910273813061742,0.0465280383873958,0.00495049504950496,-0.0876333237244163,0.229846667678761,0.0258319977373433,0.241963710048816,0.189834446703456,0.101676836830878,0.14375,0.753424657534247,-0.154013015184382,0.616228070175439,-0.0724724896836314,-0.275895638629284
4842508,"Lewisville city, Texas",PLACE,106386,3130,64493,0.3826,7973,13421,21723,33498,44273,14000,10986,22594,39038,448,59992,406,11029,4288,71032,26059,9295,0.416154381215573,0.13159626266614,0.10326546726073,0.314872257627883,0.8435,0.389026358257128,0.143130990415335,0.00676756900920123,0.103669655781776,0.16454967573583,0.578769404170296,0.0442514914390702,0.0741828976463817,0.0197534237391475,-0.00571725571725566,0.117292600896861,0.107069207291924,-0.0938804748260336,0.666865102988451,0.415539234634712,0.118426763714066,0.1675,0.477124183006536,0.449838187702265,-0.269784172661871,0.060990860990861,-0.0413592667113794
