GEOID,NAME,popm_18t24E,popf_18t24E,pop_3t4E,less_hsE,hs_degE,ba_degE,his_popE,wh_popE,bl_popE,as_popE,rohhE,thhE,hsm_18t24E,hsf_18t24E,es_3t4E,empE,emp_pubtrE,pop_o25E,emp_r25t29E,emp_r30t34E,emp_r35t44E,emp_r45t54E,type,tot_popE_2012,tot_popE_2013,tot_popE_2014,tot_popE_2015,tot_popE_2016,tot_popE_2017,tot_popE_2018,tot_popE_2019,med_incE_2012,med_incE_2013,med_incE_2014,med_incE_2015,med_incE_2016,med_incE_2017,med_incE_2018,med_incE_2019,giniE_2012,giniE_2013,giniE_2014,giniE_2015,giniE_2016,giniE_2017,giniE_2018,giniE_2019,pop_u18E_2012,pop_u18E_2013,pop_u18E_2014,pop_u18E_2015,pop_u18E_2016,pop_u18E_2017,pop_u18E_2018,pop_u18E_2019,pop_bpE_2012,pop_bpE_2013,pop_bpE_2014,pop_bpE_2015,pop_bpE_2016,pop_bpE_2017,pop_bpE_2018,pop_bpE_2019,bp_u18E_2012,bp_u18E_2013,bp_u18E_2014,bp_u18E_2015,bp_u18E_2016,bp_u18E_2017,bp_u18E_2018,bp_u18E_2019,bp_per_2012,bp_per_2013,bp_per_2014,bp_per_2015,bp_per_2016,bp_per_2017,bp_per_2018,bp_per_2019,cbp_per_2012,cbp_per_2013,cbp_per_2014,cbp_per_2015,cbp_per_2016,cbp_per_2017,cbp_per_2018,cbp_per_2019,rohh_per_2012,rohh_per_2013,rohh_per_2014,rohh_per_2015,rohh_per_2016,rohh_per_2017,rohh_per_2018,rohh_per_2019,emp_pubtr_per_2012,emp_pubtr_per_2013,emp_pubtr_per_2014,emp_pubtr_per_2015,emp_pubtr_per_2016,emp_pubtr_per_2017,emp_pubtr_per_2018,emp_pubtr_per_2019,es_3t4_per_2012,es_3t4_per_2013,es_3t4_per_2014,es_3t4_per_2015,es_3t4_per_2016,es_3t4_per_2017,es_3t4_per_2018,es_3t4_per_2019,hs_18t24_per_2012,hs_18t24_per_2013,hs_18t24_per_2014,hs_18t24_per_2015,hs_18t24_per_2016,hs_18t24_per_2017,hs_18t24_per_2018,hs_18t24_per_2019,emp_r_2012,emp_r_2013,emp_r_2014,emp_r_2015,emp_r_2016,emp_r_2017,emp_r_2018,emp_r_2019,his_per_2012,his_per_2013,his_per_2014,his_per_2015,his_per_2016,his_per_2017,his_per_2018,his_per_2019,as_per_2012,as_per_2013,as_per_2014,as_per_2015,as_per_2016,as_per_2017,as_per_2018,as_per_2019,bl_per_2012,bl_per_2013,bl_per_2014,bl_per_2015,bl_per_2016,bl_per_2017,bl_per_2018,bl_per_2019,wh_per_2012,wh_per_2013,wh_per_2014,wh_per_2015,wh_per_2016,wh_per_2017,wh_per_2018,wh_per_2019,pop_18t24E_2012,pop_18t24E_2013,pop_18t24E_2014,pop_18t24E_2015,pop_18t24E_2016,pop_18t24E_2017,pop_18t24E_2018,pop_18t24E_2019
48121,"Denton County, Texas",34178,36013,21064,28675,67831,158801,126857,437438,56214,46775,83961,243394,8899,7323,2239,351572,2994,431262,81.2,83.6,69.1,28.7,County,,687857,,,,,,,,74155,,,,,,,,0.4203,,,,,,,,184157,,,,,,,,59068,,,,,,,,18719,,,,,,,,0.0858724996619937,,,,,,,,0.101646964275048,,,,,,,,0.34495920195239,,,,,,,,0.00851603654443471,,,,,,,,0.106295100645651,,,,,,,,0.253565271900956,,,,,,,,0.6565,,,,,,,,0.184423506630012,,,,,,,,0.0680010525443515,,,,,,,,0.0817233814586462,,,,,,,,0.635943226571802,,,,,,,,70191,,,,,,
48139,"Ellis County, Texas",7097,6754,4604,11962,23050,17029,36361,98832,13173,1020,12952,51016,2679,2198,661,70207,312,95060,78.2,79.2,65.5,27.4,County,,152020,,,,,,,,61952,,,,,,,,0.4054,,,,,,,,42490,,,,,,,,17768,,,,,,,,7196,,,,,,,,0.116879357979213,,,,,,,,0.169357495881384,,,,,,,,0.253881135330093,,,,,,,,0.00444400131041064,,,,,,,,0.14357080799305,,,,,,,,0.386831275720165,,,,,,,,0.62575,,,,,,,,0.23918563346928,,,,,,,,0.00670964346796474,,,,,,,,0.0866530719642152,,,,,,,,0.650124983554795,,,,,,,,13851,,,,,,
48251,"Johnson County, Texas",7064,6152,4976,12279,26025,13733,28288,115732,3876,1026,12824,52044,3063,2199,556,66546,192,98210,71.8,74.9,62.8,22.3,County,,152384,,,,,,,,57535,,,,,,,,0.4045,,,,,,,,40280,,,,,,,,17844,,,,,,,,6743,,,,,,,,0.11709890802184,,,,,,,,0.16740317775571,,,,,,,,0.24640688648067,,,,,,,,0.00288522225227662,,,,,,,,0.111736334405145,,,,,,,,0.463529055690073,,,,,,,,0.5795,,,,,,,,0.185636287274255,,,,,,,,0.0067329903401932,,,,,,,,0.0254357412851743,,,,,,,,0.75947606047879,,,,,,,,13216,,,,,,
48257,"Kaufman County, Texas",4218,4203,3608,8967,16674,10241,18615,72919,9788,670,7761,34922,1823,1379,336,46945,38,66910,77.4,75.3,60.9,22.8,County,,105220,,,,,,,,61194,,,,,,,,0.4036,,,,,,,,29348,,,,,,,,13757,,,,,,,,5392,,,,,,,,0.130745105493252,,,,,,,,0.183726318658852,,,,,,,,0.222238130691255,,,,,,,,0.000809457876238151,,,,,,,,0.0931263858093126,,,,,,,,0.432965206032538,,,,,,,,0.591,,,,,,,,0.176915035164417,,,,,,,,0.00636761072039536,,,,,,,,0.0930241398973579,,,,,,,,0.69301463600076,,,,,,,,8421,,,,,,
48397,"Rockwall County, Texas",2823,2649,2303,3534,9033,16607,13158,59664,4331,1857,4408,26820,980,768,293,37583,132,51866,79.6,80.7,59.5,25.5,County,,81020,,,,,,,,86119,,,,,,,,0.3896,,,,,,,,23453,,,,,,,,4700,,,,,,,,1606,,,,,,,,0.0580103678104172,,,,,,,,0.0684773802924999,,,,,,,,0.164354958985831,,,,,,,,0.00351222627251683,,,,,,,,0.127225358228398,,,,,,,,0.358187134502924,,,,,,,,0.61325,,,,,,,,0.16240434460627,,,,,,,,0.0229202666008393,,,,,,,,0.053455936805727,,,,,,,,0.736410762774624,,,,,,,,5472,,,,,,
48439,"Tarrant County, Texas",88347,88112,60033,147386,226894,298740,499033,945390,272225,86566,252604,659736,29077,25803,6165,873643,5384,1159411,77.3,77.2,64,27.8,County,,1848423,,,,,,,,56853,,,,,,,,0.4592,,,,,,,,507407,,,,,,,,276852,,,,,,,,111960,,,,,,,,0.149777404847267,,,,,,,,0.220651272055766,,,,,,,,0.382886487928505,,,,,,,,0.00616270032496111,,,,,,,,0.102693518564789,,,,,,,,0.329560974503992,,,,,,,,0.61575,,,,,,,,0.269977705319616,,,,,,,,0.0468323538497411,,,,,,,,0.147274189944618,,,,,,,,0.511457604671658,,,,,,,,176459,,,,,,
48085,"Collin County, Texas",33194,31202,24517,27630,66748,238743,125023,514641,72415,99545,97382,296878,10948,8157,2841,423684,4463,539347,81.4,81.8,68.8,31.1,County,,,836947,,,,,,,,84233,,,,,,,,0.4298,,,,,,,,231728,,,,,,,,65433,,,,,,,,22509,,,,,,,,0.0781805777426767,,,,,,,,0.0971354346475178,,,,,,,,0.328020264216277,,,,,,,,0.0105337940540592,,,,,,,,0.115878777990782,,,,,,,,0.340021119324182,,,,,,,,0.65775,,,,,,,,0.149379829308188,,,,,,,,0.118938236232402,,,,,,,,0.0865228025191559,,,,,,,,0.614902735776578,,,,,,,,64396,,,,,
48113,"Dallas County, Texas",122932,118937,80968,292752,300341,380514,950159,783974,533634,131688,416813,868717,38071,32986,10345,1143128,32368,1541324,76.8,75,62.5,28.9,County,,,2448943,,,,,,,,49925,,,,,,,,0.4971,,,,,,,,659889,,,,,,,,467347,,,,,,,,194599,,,,,,,,0.190836209744367,,,,,,,,0.294896565937605,,,,,,,,0.479802973810804,,,,,,,,0.0283152892764415,,,,,,,,0.127766525046932,,,,,,,,0.314806775568593,,,,,,,,0.608,,,,,,,,0.387987388844902,,,,,,,,0.0537734034642701,,,,,,,,0.217903805846032,,,,,,,,0.320127499905061,,,,,,,,241869,,,,,
48121,"Denton County, Texas",34692,36311,21044,29065,70286,165999,132267,445154,59140,49487,88486,250472,9058,7641,1959,364566,3429,448049,81.3,83.6,69.9,28.7,County,,,708627,,,,,,,,74662,,,,,,,,0.4264,,,,,,,,187267,,,,,,,,61925,,,,,,,,19389,,,,,,,,0.0873872996654093,,,,,,,,0.103536661558096,,,,,,,,0.353277012999457,,,,,,,,0.00940570431691381,,,,,,,,0.0930906671735412,,,,,,,,0.255144148838781,,,,,,,,0.65875,,,,,,,,0.186652498423007,,,,,,,,0.0698350472110151,,,,,,,,0.0834571643473929,,,,,,,,0.628192264759881,,,,,,,,71003,,,,,
48139,"Ellis County, Texas",7313,6889,4453,11706,23254,17706,37587,99545,13326,908,14162,51814,2979,2184,556,71144,304,97120,77,79.7,64.9,25.7,County,,,154447,,,,,,,,61898,,,,,,,,0.4071,,,,,,,,42412,,,,,,,,18294,,,,,,,,7383,,,,,,,,0.11844839977468,,,,,,,,0.174078091106291,,,,,,,,0.273323812097117,,,,,,,,0.00427302372652648,,,,,,,,0.124859645183023,,,,,,,,0.419518377693283,,,,,,,,0.61825,,,,,,,,0.243365037844698,,,,,,,,0.00587903941157808,,,,,,,,0.0862820255492175,,,,,,,,0.644525306415793,,,,,,,,14202,,,,,
