GEOID,NAME,tot_popE,tot_popM,pop_u18E,pop_u18M,pop_bpE,pop_bpM,bp_u18E,bp_u18M,cbp_perE,cbp_perM,year
48113019023,"Census Tract 190.23, Dallas County, Texas",4933,323,,,9.7,3.4,63,63,7,7,2012
48113019024,"Census Tract 190.24, Dallas County, Texas",4438,540,,,6.4,3,172,169,17,14.9,2012
48113019025,"Census Tract 190.25, Dallas County, Texas",5195,299,,,8.4,2.6,51,90,3.8,6.5,2012
48113019026,"Census Tract 190.26, Dallas County, Texas",5616,503,,,7.7,2.5,237,199,21,17,2012
48113019027,"Census Tract 190.27, Dallas County, Texas",4563,334,,,9.1,4.2,153,89,12.9,7.4,2012
48113019028,"Census Tract 190.28, Dallas County, Texas",3695,310,,,4.8,2.6,115,87,13.7,10.1,2012
48113019029,"Census Tract 190.29, Dallas County, Texas",6004,597,,,7.6,2.5,392,264,24,14.3,2012
48113019031,"Census Tract 190.31, Dallas County, Texas",6269,303,,,8.7,3.7,12,20,0.8,1.4,2012
48113019032,"Census Tract 190.32, Dallas County, Texas",4382,406,,,13.7,3.3,517,291,36.5,15.8,2012
48113019033,"Census Tract 190.33, Dallas County, Texas",4453,505,,,15.1,3.4,660,222,43.3,14.3,2012
48113019034,"Census Tract 190.34, Dallas County, Texas",4024,403,,,11.8,3.8,304,172,30.5,16,2012
48113019035,"Census Tract 190.35, Dallas County, Texas",4187,563,,,10,3.7,411,257,40.5,17.7,2012
48113019036,"Census Tract 190.36, Dallas County, Texas",2698,174,,,6.4,3.2,64,59,10.9,10.1,2012
48113019037,"Census Tract 190.37, Dallas County, Texas",3616,222,,,10.5,4.1,85,73,10.3,8.7,2012
48113019038,"Census Tract 190.38, Dallas County, Texas",692,199,,,10.5,7.4,0,13,,,2012
48113019039,"Census Tract 190.39, Dallas County, Texas",6254,500,,,9.2,2.9,545,259,39,15.1,2012
48113019040,"Census Tract 190.40, Dallas County, Texas",5401,502,,,8.8,3.2,56,67,5,6.2,2012
48113019041,"Census Tract 190.41, Dallas County, Texas",2670,270,,,8.8,4.6,38,48,8.1,10.4,2012
