GEOID,NAME,tot_popE,med_incE,giniE,pop_u18E,pop_bpE,bp_u18E,year,bp_per,cbp_per,type
75116,ZCTA5 75116,20465,48580,0.3882,6303,3067,1500,2015,0.149865624236501,0.237981913374584,Zip
75119,ZCTA5 75119,26853,43985,0.4296,7425,6099,2565,2015,0.227125460842364,0.345454545454545,Zip
75124,ZCTA5 75124,4083,46607,0.379,627,442,113,2015,0.108253734998775,0.180223285486443,Zip
75125,ZCTA5 75125,5739,40369,0.473,1448,1406,595,2015,0.244990416448859,0.410911602209945,Zip
75126,ZCTA5 75126,37042,80654,0.3361,12032,2375,987,2015,0.0641164084012742,0.08203125,Zip
75132,ZCTA5 75132,1093,59908,0.3073,301,44,21,2015,0.040256175663312,0.0697674418604651,Zip
75134,ZCTA5 75134,21397,47289,0.3978,6736,4323,2038,2015,0.202037668832079,0.302553444180523,Zip
75135,ZCTA5 75135,6312,61641,0.411,2016,907,443,2015,0.143694550063371,0.219742063492064,Zip
75137,ZCTA5 75137,19102,56788,0.3739,4185,1914,639,2015,0.100198932049,0.152688172043011,Zip
75141,ZCTA5 75141,5672,36939,0.4326,1285,1011,491,2015,0.178244005641749,0.382101167315175,Zip
75142,ZCTA5 75142,18020,52583,0.4189,4683,3563,1459,2015,0.197724750277469,0.311552423660047,Zip
75143,ZCTA5 75143,15970,41346,0.4473,3336,3304,1030,2015,0.206887914840326,0.308752997601919,Zip
75146,ZCTA5 75146,18887,55438,0.4063,5393,2292,976,2015,0.121353311801768,0.180975338401632,Zip
75147,ZCTA5 75147,7716,40469,0.4893,2403,1553,695,2015,0.201270088128564,0.289221806075739,Zip
75149,ZCTA5 75149,56366,44675,0.4123,17117,11137,5116,2015,0.197583649717915,0.298884150259975,Zip
75150,ZCTA5 75150,60810,45541,0.3966,16791,8506,3444,2015,0.139878309488571,0.205109880293014,Zip
75152,ZCTA5 75152,5185,54155,0.3672,1636,398,207,2015,0.0767598842815815,0.126528117359413,Zip
75154,ZCTA5 75154,38440,71380,0.3825,10699,3387,1136,2015,0.088111342351717,0.10617814749042,Zip
75155,ZCTA5 75155,2795,40000,0.3945,944,845,413,2015,0.302325581395349,0.4375,Zip
