GEOID,NAME,TYPE,tot_popE_19,pop_3t4E_19,med_incE_19,giniE_19,less_hsE_19,hs_degE_19,ba_degE_19,his_popE_19,wh_popE_19,bl_popE_19,as_popE_19,rohhE_19,thhE_19,es_3t4E_19,empE_19,emp_pubtrE_19,pop_bpE_19,bp_u18E_19,pop_o25E_19,pop_u18E_19,pop_18t24E_19,wh_per_19,bl_per_19,as_per_19,his_per_19,emp_r_19,hs_18t24_per_19,es_3t4_per_19,emp_pubtr_per_19,bp_per_19,cbp_per_19,rohh_per_19,per_rohh,per_tot_pop,per_med_inc,per_gini,per_less_hs,per_hs_deg,per_ba_deg,per_wh,per_bl,per_as,per_his,per_emp_r,per_hs_18t24,per_es_3t4,per_emp_pubtr,per_bp,per_cbp
75143,ZCTA5 75143,ZIP,14510,309,50390,0.4388,1172,2671,1115,2232,11744,229,50,1103,5339,64,5832,3,1949,483,9944,3195,1371,0.809372846312888,0.0157822191592006,0.00344589937973811,0.153824948311509,0.72575,0.554339897884756,0.207119741100324,0.00051440329218107,0.134321157822192,0.151173708920188,0.206592994942873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75146,ZCTA5 75146,ZIP,19701,628,60701,0.4111,877,2782,2542,3600,2706,12976,71,2538,6873,70,9265,69,2020,863,12084,6028,1589,0.137353433835846,0.658646769199533,0.00360387797573727,0.182731841023298,0.835,0.581497797356828,0.111464968152866,0.00744738262277388,0.102532866351962,0.143165228931652,0.369271060672196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75147,ZCTA5 75147,ZIP,6636,84,43154,0.5224,378,1665,332,683,5453,185,97,762,2480,18,2849,0,1144,378,4709,1384,543,0.821729957805907,0.0278782399035564,0.0146172393007836,0.102923447860157,0.78875,0.23572744014733,0.214285714285714,0,0.172393007836046,0.273121387283237,0.307258064516129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75149,ZCTA5 75149,ZIP,56473,1704,50648,0.3875,6694,8036,3579,24251,16143,13761,955,6844,18138,178,25073,64,9709,4206,33535,17014,5924,0.285853416676996,0.243673968090946,0.0169107361039789,0.429426451578631,0.7675,0.358541525995949,0.104460093896714,0.00255254656403302,0.171922865794273,0.24720818149759,0.377329363766678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75150,ZCTA5 75150,ZIP,60671,1970,54440,0.3914,5879,8980,5577,27448,16598,13225,1881,11315,21086,405,28933,229,7501,2670,36985,17101,6585,0.273573865603006,0.217978935570536,0.0310032799854955,0.452407245636301,0.78875,0.322247532270311,0.205583756345178,0.00791483772854526,0.12363402614099,0.156131220396468,0.536611970027506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75152,ZCTA5 75152,ZIP,5195,99,67460,0.3957,398,943,438,1802,3058,198,2,402,1636,18,2344,41,658,362,2996,1790,409,0.588642925890279,0.0381135707410972,0.000384985563041386,0.346871992300289,0.792,0.112469437652812,0.181818181818182,0.0174914675767918,0.126660250240616,0.202234636871508,0.245721271393643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75154,ZCTA5 75154,ZIP,40947,988,78699,0.3936,2628,5794,5556,10528,17593,11354,178,2650,12899,197,19667,43,3701,1398,25772,11436,3739,0.429652966029257,0.27728527120424,0.0043470828143698,0.257112853200479,0.812,0.450387804225729,0.199392712550607,0.00218640362027762,0.0903851319999023,0.122245540398741,0.205442282347469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75155,ZCTA5 75155,ZIP,3233,153,53698,0.3728,530,483,96,1642,1504,64,0,167,947,3,1263,0,390,186,1901,1059,273,0.465202598206001,0.0197958552428085,0,0.507887411073306,0.681,0.476190476190476,0.0196078431372549,0,0.120630992885865,0.175637393767705,0.176346356916579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75156,ZCTA5 75156,ZIP,16578,175,47857,0.519,1453,3288,1185,1579,14419,342,19,1650,6730,35,6470,13,3407,1230,12077,3338,1163,0.869767161298106,0.0206297502714441,0.00114609723730245,0.0952467125105562,0.682,0.486672398968186,0.2,0.00200927357032458,0.205513330920497,0.36848412222888,0.24517087667162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75157,ZCTA5 75157,ZIP,261,3,40500,0.4762,39,51,13,55,151,23,0,25,98,0,111,0,73,31,175,75,11,0.578544061302682,0.0881226053639847,0,0.210727969348659,0.76725,0.545454545454545,0,0,0.279693486590038,0.413333333333333,0.255102040816327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
